cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5
6000,6.160,6.224,0.000,0.000,6.144,6.128
8000,5.776,5.488,0.000,0.000,5.696,5.632
10000,6.960,7.168,0.000,0.000,7.024,7.136
12000,7.152,6.976,0.000,0.000,7.120,6.960
14000,7.104,6.848,0.000,0.000,7.136,6.912
16000,5.616,5.888,0.000,0.000,5.536,5.680
18000,7.232,7.200,0.000,0.000,7.296,7.328
20000,6.736,6.784,0.000,0.000,6.720,6.576
22000,5.904,5.792,0.000,0.000,5.840,6.016
24000,6.752,7.056,0.000,0.000,6.880,7.024
26000,7.152,6.832,0.000,0.000,7.104,6.800
28000,5.552,5.888,0.000,0.000,5.600,5.952
30000,7.120,6.816,0.000,0.000,7.088,6.720
32000,6.576,6.800,0.000,0.000,6.624,6.896
34000,6.512,6.496,0.000,0.000,6.496,6.192
36000,6.256,6.240,0.000,0.000,6.176,6.544
38000,7.056,7.104,0.000,0.000,7.136,7.072
40000,6.960,6.928,0.000,0.000,6.912,6.960
42000,5.664,5.776,0.000,0.000,5.696,5.744
44000,7.056,6.960,0.000,0.000,7.056,6.832
46000,6.688,6.720,0.000,0.000,6.704,6.880
48000,6.016,5.936,0.000,0.000,5.984,5.792
50000,6.704,6.768,0.000,0.000,6.720,6.912
52000,7.168,7.040,0.000,0.000,7.216,6.896
54000,5.376,5.648,0.000,0.000,5.312,5.744
56000,7.184,7.056,0.000,0.000,7.184,6.944
58000,6.672,6.768,0.000,0.000,6.704,6.944
60000,6.464,6.368,0.000,0.000,6.528,6.320
62000,6.272,6.256,0.000,0.000,6.224,6.304
64000,7.024,7.040,0.000,0.000,7.008,7.024
66000,6.944,6.928,0.000,0.000,6.912,6.912
68000,5.616,5.632,0.000,0.000,5.632,5.648
70000,7.184,7.024,0.000,0.000,7.104,6.896
72000,6.640,6.800,0.000,0.000,6.752,6.928
74000,6.112,5.824,0.000,0.000,6.016,5.760
76000,6.496,6.864,0.000,0.000,6.576,6.928
78000,7.312,7.104,0.000,0.000,7.232,7.008
80000,5.280,5.616,0.000,0.000,5.376,5.632
82000,7.248,6.960,0.000,0.000,7.232,7.056
84000,6.672,6.992,0.000,0.000,6.704,6.880
86000,6.672,6.432,0.000,0.000,6.656,6.576
88000,6.080,6.256,0.000,0.000,6.064,6.176
90000,7.024,6.864,0.000,0.000,6.976,6.880
92000,6.960,7.056,0.000,0.000,6.976,7.008
94000,5.728,5.760,0.000,0.000,5.744,5.776
96000,7.200,6.960,0.000,0.000,7.232,6.960
98000,6.720,6.960,0.000,0.000,6.736,6.960
100000,5.872,5.776,0.000,0.000,5.840,5.728
102000,6.800,6.880,0.000,0.000,6.768,6.992
104000,7.024,6.896,0.000,0.000,7.056,6.880
106000,5.728,6.016,0.000,0.000,5.792,6.016
108000,6.944,6.656,0.000,0.000,6.880,6.640
110000,6.992,7.040,0.000,0.000,6.928,7.056
112000,6.368,6.336,0.000,0.000,6.496,6.384
114000,6.320,6.304,0.000,0.000,6.256,6.304
116000,6.768,6.800,0.000,0.000,6.800,6.720
118000,7.168,7.056,0.000,0.000,7.136,7.072
120000,5.520,5.664,0.000,0.000,5.440,5.728
122000,7.072,7.008,0.000,0.000,7.152,6.960
124000,6.752,6.768,0.000,0.000,6.736,6.816
126000,5.792,5.824,0.000,0.000,5.824,5.776
128000,6.912,6.960,0.000,0.000,6.912,6.976
130000,7.008,6.928,0.000,0.000,6.992,6.912
132000,6.240,6.208,0.000,0.000,6.224,6.272
134000,6.384,6.512,0.000,0.000,6.416,6.400
136000,7.200,7.072,0.000,0.000,7.120,7.104
138000,6.720,6.720,0.000,0.000,6.704,6.848
140000,5.904,5.888,0.000,0.000,5.952,5.760
142000,6.864,6.960,0.000,0.000,6.896,7.072
144000,6.928,6.864,0.000,0.000,6.928,6.752
146000,5.632,5.664,0.000,0.000,5.568,5.712
148000,6.912,6.880,0.000,0.000,6.976,6.848
150000,6.816,6.976,0.000,0.000,6.800,6.992
152000,5.840,5.696,0.000,0.000,5.872,5.648
154000,6.864,7.024,0.000,0.000,6.912,7.072
156000,6.944,6.768,0.000,0.000,6.896,6.768
158000,6.544,6.448,0.000,0.000,6.432,6.384
160000,6.016,6.128,0.000,0.000,6.112,6.176
162000,7.216,7.168,0.000,0.000,7.216,7.136
164000,6.640,6.656,0.000,0.000,6.352,6.624
166000,5.984,5.936,0.000,0.000,6.288,6.000
168000,6.784,6.896,0.000,0.000,6.688,6.784
170000,7.056,6.992,0.000,0.000,7.136,7.072
172000,5.568,5.440,0.000,0.000,5.504,5.456
174000,6.976,7.120,0.000,0.000,7.040,7.136
176000,6.928,6.768,0.000,0.000,6.832,6.784
178000,5.744,5.856,0.000,0.000,5.824,5.856
180000,6.912,6.928,0.000,0.000,6.896,6.912
182000,6.784,6.816,0.000,0.000,6.816,6.816
184000,6.400,6.048,0.000,0.000,6.464,5.984
186000,6.272,6.608,0.000,0.000,6.208,6.688
188000,7.248,7.024,0.000,0.000,7.264,7.008
190000,6.448,6.656,0.000,0.000,6.336,6.656
192000,6.128,6.128,0.000,0.000,6.240,6.080
194000,6.592,6.592,0.000,0.000,6.512,6.656
196000,7.232,7.136,0.000,0.000,7.264,7.072
198000,5.552,5.632,0.000,0.000,5.520,5.632
200000,7.008,7.056,0.000,0.000,7.072,7.104
202000,6.992,6.848,0.000,0.000,6.944,6.832
204000,5.680,5.760,0.000,0.000,5.712,5.776
206000,6.848,6.880,0.000,0.000,6.800,6.864
208000,6.848,6.880,0.000,0.000,6.912,6.896
210000,6.256,5.920,0.000,0.000,6.176,5.984
212000,6.400,6.752,0.000,0.000,6.496,6.688
214000,7.200,6.992,0.000,0.000,7.168,7.008
216000,6.128,6.496,0.000,0.000,6.176,6.464
218000,6.464,6.176,0.000,0.000,6.432,6.112
220000,6.672,6.752,0.000,0.000,6.656,6.880
222000,7.072,7.104,0.000,0.000,7.072,6.992
224000,5.680,5.552,0.000,0.000,5.728,5.648
226000,7.008,7.104,0.000,0.000,6.960,7.088
228000,6.848,6.800,0.000,0.000,6.880,6.752
230000,5.696,5.776,0.000,0.000,5.680,5.808
232000,6.976,6.880,0.000,0.000,6.960,6.864
234000,6.848,6.944,0.000,0.000,6.864,6.960
236000,6.144,6.080,0.000,0.000,6.032,6.064
238000,6.448,6.496,0.000,0.000,6.512,6.496
240000,7.152,6.992,0.000,0.000,7.216,6.960
242000,6.160,6.272,0.000,0.000,6.096,6.336
244000,6.432,6.400,0.000,0.000,6.448,6.432
246000,6.768,6.880,0.000,0.000,6.784,6.784
248000,7.168,7.104,0.000,0.000,7.152,7.152
250000,5.568,5.648,0.000,0.000,5.632,5.616
252000,7.040,7.008,0.000,0.000,7.008,7.040
254000,6.880,6.768,0.000,0.000,6.896,6.784
256000,5.712,5.776,0.000,0.000,5.696,5.808
258000,7.008,6.976,0.000,0.000,6.880,6.928
260000,6.768,6.848,0.000,0.000,6.896,6.848
262000,6.304,6.320,0.000,0.000,6.000,6.304
264000,6.368,6.304,0.000,0.000,6.656,6.352
266000,7.200,7.152,0.000,0.000,7.088,7.104
268000,6.528,6.720,0.000,0.000,6.672,6.816
270000,6.064,5.936,0.000,0.000,6.080,5.872
272000,6.896,7.024,0.000,0.000,6.880,7.024
274000,6.976,6.864,0.000,0.000,6.960,6.848
276000,5.680,5.792,0.000,0.000,5.744,5.744
278000,6.960,6.832,0.000,0.000,6.864,6.880
280000,6.960,7.072,0.000,0.000,7.024,7.040
282000,5.712,5.568,0.000,0.000,5.648,5.632
284000,7.088,7.104,0.000,0.000,7.008,7.072
286000,6.608,6.608,0.000,0.000,6.736,6.656
288000,6.560,6.592,0.000,0.000,6.544,6.560
290000,6.112,6.096,0.000,0.000,6.080,6.064
292000,7.200,7.216,0.000,0.000,7.232,7.248
294000,6.640,6.480,0.000,0.000,6.704,6.464
296000,5.904,6.080,0.000,0.000,5.840,6.080
298000,6.784,6.784,0.000,0.000,6.816,6.816
300000,7.040,7.040,0.000,0.000,7.008,7.008
302000,5.680,5.632,0.000,0.000,5.680,5.616
304000,6.896,6.912,0.000,0.000,6.896,6.928
306000,7.040,7.040,0.000,0.000,7.056,6.976
308000,5.584,5.520,0.000,0.000,5.584,5.568
310000,6.960,7.104,0.000,0.000,6.992,7.040
312000,6.848,6.752,0.000,0.000,6.800,6.784
314000,6.400,6.384,0.000,0.000,6.336,6.496
316000,6.272,6.352,0.000,0.000,6.352,6.240
318000,7.184,7.152,0.000,0.000,7.168,7.216
320000,6.832,6.640,0.000,0.000,6.864,6.624
322000,5.728,5.936,0.000,0.000,5.696,5.936
324000,6.944,6.944,0.000,0.000,7.040,6.896
326000,6.880,6.880,0.000,0.000,6.784,6.928
328000,5.872,5.840,0.000,0.000,5.904,5.776
330000,6.720,6.720,0.000,0.000,6.720,6.768
332000,7.136,7.040,0.000,0.000,7.120,7.008
334000,5.504,5.488,0.000,0.000,5.520,5.552
336000,7.104,7.168,0.000,0.000,7.104,7.072
338000,6.736,6.736,0.000,0.000,6.720,6.848
340000,6.512,6.384,0.000,0.000,6.480,6.352
342000,6.144,6.336,0.000,0.000,6.112,6.336
344000,7.152,7.152,0.000,0.000,7.200,7.152
346000,6.880,6.496,0.000,0.000,6.896,6.512
348000,5.664,6.064,0.000,0.000,5.664,6.032
350000,7.088,6.944,0.000,0.000,7.152,6.912
352000,6.736,6.880,0.000,0.000,6.656,6.928
354000,5.856,5.696,0.000,0.000,5.952,5.664
356000,6.688,6.848,0.000,0.000,6.592,6.880
358000,7.104,6.960,0.000,0.000,7.056,6.912
360000,5.568,5.680,0.000,0.000,5.616,5.648
362000,7.056,6.976,0.000,0.000,7.088,7.072
364000,6.832,6.832,0.000,0.000,6.752,6.784
366000,6.464,6.464,0.000,0.000,6.512,6.352
368000,6.032,6.144,0.000,0.000,6.016,6.288
370000,7.280,7.184,0.000,0.000,7.296,7.088
372000,6.752,6.592,0.000,0.000,6.640,6.752
374000,5.792,6.000,0.000,0.000,5.904,5.936
376000,6.752,6.688,0.000,0.000,6.736,6.720
378000,7.072,7.136,0.000,0.000,7.088,7.088
380000,5.504,5.392,0.000,0.000,5.488,5.424
382000,7.040,7.200,0.000,0.000,7.056,7.184
384000,6.864,6.656,0.000,0.000,6.864,6.672
386000,5.776,5.888,0.000,0.000,5.792,5.872
388000,6.960,6.912,0.000,0.000,6.960,6.896
390000,6.768,6.912,0.000,0.000,6.752,6.928
392000,6.496,6.000,0.000,0.000,6.192,5.904
394000,6.176,6.544,0.000,0.000,6.480,6.640
396000,7.264,7.104,0.000,0.000,7.168,7.088
398000,6.208,6.240,0.000,0.000,6.384,6.448
400000,6.352,6.448,0.000,0.000,6.224,6.208
402000,6.528,6.592,0.000,0.000,6.656,6.704
404000,7.280,7.184,0.000,0.000,7.152,7.168
406000,5.552,5.456,0.000,0.000,5.664,5.408
408000,7.024,7.296,0.000,0.000,6.960,7.296
410000,6.784,6.656,0.000,0.000,6.896,6.672
412000,5.872,5.904,0.000,0.000,5.760,5.888
414000,6.784,6.816,0.000,0.000,6.832,6.816
416000,6.928,7.008,0.000,0.000,6.880,7.008
418000,6.128,5.760,0.000,0.000,6.160,5.824
420000,6.544,6.784,0.000,0.000,6.512,6.720
422000,7.088,6.976,0.000,0.000,7.072,7.040
424000,6.224,6.320,0.000,0.000,6.416,6.128
426000,6.480,6.432,0.000,0.000,6.240,6.624
428000,6.672,6.784,0.000,0.000,6.784,6.640
430000,7.184,6.992,0.000,0.000,7.120,7.168
432000,5.520,5.760,0.000,0.000,5.584,5.632
434000,7.040,7.024,0.000,0.000,6.992,7.088
436000,6.864,6.864,0.000,0.000,6.912,6.816
438000,5.760,5.728,0.000,0.000,5.696,5.744
440000,6.880,6.880,0.000,0.000,6.976,6.832
442000,6.880,6.944,0.000,0.000,6.784,6.992
444000,6.352,6.096,0.000,0.000,6.288,6.144
446000,6.272,6.448,0.000,0.000,6.368,6.400
448000,7.296,7.088,0.000,0.000,7.248,7.056
450000,6.240,6.256,0.000,0.000,6.128,6.256
452000,6.336,6.384,0.000,0.000,6.464,6.416
454000,6.800,6.960,0.000,0.000,6.816,6.848
456000,7.024,6.976,0.000,0.000,7.024,7.136
458000,5.744,5.728,0.000,0.000,5.712,5.728
460000,6.800,6.944,0.000,0.000,6.832,6.896
462000,7.120,6.896,0.000,0.000,7.104,6.928
464000,5.616,5.712,0.000,0.000,5.632,5.632
466000,7.104,7.008,0.000,0.000,7.104,7.088
468000,6.672,6.800,0.000,0.000,6.736,6.768
470000,6.512,6.528,0.000,0.000,6.448,6.480
472000,6.176,6.096,0.000,0.000,6.240,6.160
474000,7.136,7.232,0.000,0.000,7.072,7.232
476000,6.896,6.688,0.000,0.000,6.944,6.672
478000,5.760,5.904,0.000,0.000,5.712,5.920
480000,7.072,6.992,0.000,0.000,7.072,6.976
482000,6.640,6.848,0.000,0.000,6.640,6.848
484000,6.032,5.824,0.000,0.000,6.080,5.872
486000,6.688,6.864,0.000,0.000,6.704,6.800
488000,7.216,7.024,0.000,0.000,7.184,7.056
490000,5.552,5.808,0.000,0.000,5.664,5.728
492000,7.024,6.928,0.000,0.000,6.880,6.976
494000,6.800,6.848,0.000,0.000,6.896,6.880
496000,6.368,6.272,0.000,0.000,6.336,6.256
498000,6.288,6.400,0.000,0.000,6.320,6.384
500000,7.008,6.896,0.000,0.000,6.832,6.912
502000,6.896,6.816,0.000,0.000,7.056,6.816
504000,5.696,5.808,0.000,0.000,5.600,5.808
506000,7.184,7.088,0.000,0.000,7.264,7.104
508000,6.656,6.720,0.000,0.000,6.608,6.736
510000,5.968,5.856,0.000,0.000,5.968,5.856
512000,6.816,6.976,0.000,0.000,6.816,6.928
514000,7.024,6.896,0.000,0.000,7.008,6.912
516000,5.760,5.952,0.000,0.000,5.952,5.936
518000,6.784,6.768,0.000,0.000,6.592,6.784
520000,7.040,6.944,0.000,0.000,7.104,6.976
522000,6.240,6.192,0.000,0.000,6.208,6.112
524000,6.464,6.464,0.000,0.000,6.528,6.560
526000,6.880,6.976,0.000,0.000,6.736,6.912
528000,7.056,6.848,0.000,0.000,7.152,6.960
530000,5.552,5.776,0.000,0.000,5.520,5.584
532000,7.104,7.056,0.000,0.000,7.088,7.152
534000,6.864,6.896,0.000,0.000,6.784,6.880
536000,5.792,5.760,0.000,0.000,5.872,5.760
538000,6.896,6.896,0.000,0.000,6.928,6.944
