kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mvt.1.sm_75.ptx 71 : 65536 6077184 0 0 0 65536 2048 0 0 
mvt.1.sm_75.ptx 72 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 73 : 65536 2795584 0 0 0 8192 2048 0 0 
mvt.1.sm_75.ptx 74 : 65536 6166656 0 0 0 2048 2048 0 0 
mvt.1.sm_75.ptx 75 : 65536 6089504 0 0 0 65536 2048 0 0 
mvt.1.sm_75.ptx 76 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 77 : 65536 2786624 0 0 0 8192 2048 0 0 
mvt.1.sm_75.ptx 78 : 65536 4108288 0 0 0 2048 2048 0 0 
mvt.1.sm_75.ptx 79 : 65536 6149120 0 0 0 65536 2048 0 0 
mvt.1.sm_75.ptx 80 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 81 : 65536 2856704 0 0 0 8192 2048 0 0 
mvt.1.sm_75.ptx 82 : 65536 7452224 64 0 0 2048 2048 0 0 
mvt.1.sm_75.ptx 83 : 65536 22989664 27200 0 0 65536 2048 0 0 
mvt.1.sm_75.ptx 84 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 85 : 65536 2332864 0 0 0 8192 2048 0 0 
