cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
6000,4,0,11,0,33,0
8000,96,0,22,0,66,0
10000,88,0,24,0,72,0
12000,88,0,23,0,69,0
14000,92,0,21,0,63,0
16000,92,0,24,0,72,0
18000,88,0,19,0,57,0
20000,92,0,24,0,72,0
22000,84,0,22,0,66,0
24000,92,0,22,0,66,0
26000,88,0,22,0,66,0
28000,88,0,23,0,69,0
30000,92,0,21,0,63,0
32000,84,0,22,0,66,0
34000,92,0,24,0,72,0
36000,88,0,21,0,63,0
38000,92,0,23,0,69,0
40000,88,0,21,0,63,0
42000,88,0,23,0,69,0
44000,84,0,21,0,63,0
46000,92,0,23,0,69,0
48000,88,0,22,0,66,0
50000,92,0,22,0,66,0
52000,80,0,21,0,63,0
54000,96,0,24,0,72,0
56000,84,0,23,0,66,0
58000,92,0,21,0,66,0
60000,92,0,23,0,69,0
62000,84,0,21,0,63,0
64000,92,0,23,0,69,0
66000,88,0,22,0,65,0
68000,88,0,22,0,67,0
70000,84,0,21,0,63,0
72000,92,0,23,0,69,0
74000,88,0,24,0,72,0
76000,92,3,22,0,63,3
78000,80,3,23,0,70,3
80000,96,0,22,0,66,0
82000,88,3,22,0,67,3
84000,92,3,24,0,73,3
86000,92,1,21,0,60,1
88000,84,2,22,0,66,2
90000,96,3,22,0,67,3
92000,80,3,22,0,67,3
94000,96,0,23,0,69,0
96000,88,3,23,0,70,3
98000,88,0,22,0,66,0
100000,92,0,22,0,66,0
102000,84,0,24,0,72,0
104000,92,0,20,0,60,0
106000,84,0,20,0,60,0
108000,96,0,24,0,72,0
110000,80,0,20,0,60,0
112000,96,0,24,0,72,0
114000,80,0,24,0,72,0
116000,96,0,21,0,63,0
118000,88,0,23,0,69,0
120000,88,0,24,0,72,0
122000,92,0,19,0,57,0
124000,84,0,23,0,69,0
126000,96,0,22,0,66,0
128000,80,0,24,0,72,0
130000,96,0,21,0,63,0
132000,84,0,21,0,63,0
134000,92,0,23,0,69,0
136000,88,0,21,0,63,0
138000,88,0,24,0,72,0
140000,92,0,22,0,66,0
142000,84,0,22,0,66,0
144000,88,0,22,0,66,0
146000,88,0,22,0,66,0
148000,92,0,22,0,66,0
150000,84,0,22,0,66,0
152000,96,0,22,0,66,0
154000,80,0,20,0,60,0
156000,96,0,24,0,72,0
158000,80,0,22,0,66,0
160000,96,0,24,0,72,0
162000,80,0,22,0,66,0
164000,96,0,23,0,69,0
166000,88,0,19,0,57,0
168000,88,0,22,0,66,0
170000,86,0,22,0,66,0
172000,90,0,24,0,72,0
174000,92,0,22,0,66,0
176000,84,0,22,0,66,0
178000,96,0,22,0,66,0
180000,80,0,22,0,66,0
182000,96,0,23,0,69,0
184000,80,0,21,0,63,0
186000,93,0,22,0,66,0
188000,83,0,22,0,66,0
190000,96,0,23,0,69,0
192000,80,0,21,0,63,0
194000,96,0,22,0,66,0
196000,88,0,24,0,72,0
198000,88,0,22,0,66,0
200000,92,0,22,0,66,0
202000,84,0,21,0,63,0
204000,92,0,25,0,73,0
206000,84,0,20,0,62,0
208000,95,0,22,0,66,0
210000,81,0,22,0,66,0
212000,96,0,22,0,66,0
214000,80,0,23,0,69,0
216000,96,0,23,0,69,0
218000,80,0,20,0,60,0
220000,96,0,22,0,66,0
222000,80,0,23,0,69,0
224000,96,0,23,0,69,0
226000,88,0,22,0,66,0
228000,88,0,24,0,72,0
230000,88,0,20,0,60,0
232000,88,0,22,0,66,0
234000,92,0,22,0,66,0
236000,84,0,22,0,66,0
238000,88,0,24,0,72,0
240000,88,0,20,0,60,0
242000,92,0,24,0,72,0
244000,84,0,22,0,66,0
246000,92,0,22,0,66,0
248000,88,0,22,0,66,0
250000,92,0,20,0,60,0
252000,88,0,24,0,72,0
254000,88,0,22,0,66,0
256000,88,0,23,0,66,0
258000,88,0,21,0,66,0
260000,88,0,22,0,66,0
262000,88,0,22,0,66,0
264000,88,0,21,0,63,0
266000,88,0,23,0,69,0
268000,96,0,22,0,66,0
270000,84,0,24,0,72,0
272000,92,0,22,0,66,0
274000,88,0,23,0,69,0
276000,88,0,21,0,63,0
278000,92,0,24,0,72,0
280000,84,0,18,0,54,0
282000,96,0,24,0,72,0
284000,80,0,23,0,66,0
286000,96,0,22,0,69,0
288000,80,0,23,0,69,0
290000,96,0,24,0,72,0
292000,80,0,17,0,51,0
294000,96,0,27,0,81,0
296000,80,0,20,0,60,0
298000,96,0,22,0,66,0
300000,88,0,22,0,66,0
302000,88,0,22,0,66,0
304000,92,0,20,0,60,0
306000,84,0,24,0,72,0
308000,92,0,23,0,69,0
310000,84,0,21,0,63,0
312000,92,0,22,0,66,0
314000,84,0,24,0,72,0
316000,96,0,21,0,63,0
318000,84,0,23,0,69,0
320000,92,0,21,0,63,0
322000,84,0,22,0,66,0
324000,92,0,23,0,69,0
326000,88,0,22,0,66,0
328000,88,0,22,0,66,0
330000,92,0,22,0,66,0
332000,84,0,21,0,63,0
334000,92,0,25,0,75,0
336000,84,0,22,0,66,0
338000,96,0,21,0,63,0
340000,84,0,23,0,69,0
342000,92,0,21,0,63,0
344000,84,0,21,0,63,0
346000,92,0,22,0,66,0
348000,88,0,24,0,72,0
350000,88,0,21,0,63,0
352000,88,0,23,0,69,0
354000,88,0,24,0,72,0
356000,96,0,21,0,63,0
358000,80,0,20,0,60,0
360000,96,0,25,0,75,0
362000,80,0,20,0,60,0
364000,96,0,24,0,72,0
366000,88,0,22,0,66,0
368000,88,0,24,0,72,0
370000,80,0,18,0,54,0
372000,96,0,22,0,66,0
374000,85,0,24,0,72,0
376000,91,0,24,0,72,0
378000,84,0,19,0,56,0
380000,92,0,25,0,76,0
382000,84,0,20,0,60,0
384000,92,0,21,0,63,0
386000,91,0,24,0,72,0
388000,85,0,21,0,63,0
390000,96,0,23,0,69,0
392000,80,0,23,0,69,0
394000,96,0,20,0,60,0
396000,80,0,22,0,66,0
398000,96,0,24,0,72,0
400000,80,0,22,0,66,0
402000,96,0,20,0,60,0
404000,83,0,22,0,66,0
406000,93,0,26,0,78,0
408000,88,0,20,0,60,0
410000,88,0,22,0,66,0
412000,88,0,22,0,66,0
414000,88,0,20,0,60,0
416000,96,0,25,0,72,0
418000,80,0,23,0,72,0
420000,96,0,20,0,60,0
422000,80,0,24,0,72,0
424000,96,0,22,0,63,0
426000,80,0,18,0,57,0
428000,96,0,26,0,78,0
430000,88,0,21,0,62,0
432000,88,0,21,0,64,0
434000,89,0,25,0,75,0
436000,87,0,23,0,69,0
438000,96,0,20,0,60,0
440000,80,0,21,0,63,0
442000,96,0,23,0,69,0
444000,80,0,20,0,60,0
446000,96,0,26,0,78,0
448000,80,0,19,0,57,0
450000,96,0,25,0,75,0
452000,80,0,18,0,54,0
454000,96,0,26,0,78,0
456000,88,0,19,0,57,0
458000,88,0,24,0,72,0
460000,96,0,24,0,72,0
462000,80,0,23,0,69,0
464000,96,0,22,0,66,0
466000,84,0,22,0,66,0
468000,92,0,21,0,63,0
470000,88,0,23,0,69,0
472000,88,0,22,0,66,0
474000,88,0,22,0,66,0
476000,88,0,24,0,72,0
478000,96,0,21,0,63,0
480000,80,0,21,0,63,0
482000,96,0,23,0,69,0
484000,80,0,21,0,63,0
486000,96,0,24,0,72,0
488000,80,0,22,0,66,0
490000,96,0,22,0,66,0
492000,88,0,22,0,66,0
494000,88,0,23,0,69,0
496000,92,0,18,0,54,0
498000,84,0,25,0,75,0
500000,96,0,22,0,66,0
502000,83,0,22,0,66,0
504000,93,0,25,0,75,0
506000,81,0,21,0,63,0
508000,95,0,21,0,63,0
510000,84,0,23,0,66,0
512000,92,0,21,0,66,0
514000,92,0,23,0,69,0
516000,84,0,24,0,72,0
518000,96,0,20,0,60,0
520000,80,0,22,0,66,0
522000,96,0,23,0,69,0
524000,80,0,21,0,63,0
526000,96,0,24,0,72,0
528000,83,0,22,0,63,0
530000,93,0,20,0,63,0
532000,92,0,25,0,74,0
534000,84,0,21,0,64,0
536000,96,0,22,0,66,0
538000,80,0,20,0,60,0
540000,96,0,26,0,78,0
542000,80,0,20,0,60,0
544000,96,0,22,0,66,0
546000,80,0,23,0,69,0
548000,96,0,23,0,69,0
550000,88,0,18,0,54,0
552000,88,0,26,0,78,0
554000,88,0,22,0,66,0
556000,88,0,20,0,60,0
558000,96,0,26,0,78,0
560000,80,0,20,0,60,0
562000,96,0,23,0,69,0
564000,80,0,19,0,57,0
566000,96,0,26,0,78,0
568000,88,0,22,0,66,0
570000,88,0,22,0,66,0
572000,88,0,22,0,66,0
574000,88,0,24,0,72,0
576000,96,0,16,0,48,0
578000,80,0,26,0,78,0
580000,96,0,22,0,66,0
582000,84,0,20,0,60,0
584000,92,0,26,0,78,0
586000,80,0,20,0,60,0
