cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5
1224000,3.888,4.128,4.112,4.480,0.000,0.000
1226000,4.032,4.080,4.224,4.112,0.000,0.000
1228000,4.304,4.192,4.224,4.016,0.000,0.000
1230000,4.032,3.920,3.840,3.872,0.000,0.000
1232000,4.000,3.952,3.984,4.160,0.000,0.000
1234000,3.968,4.096,4.112,4.112,0.000,0.000
1236000,4.112,3.968,4.176,3.904,0.000,0.000
1238000,4.128,4.160,4.080,3.536,0.000,0.000
1240000,3.952,4.176,4.016,4.160,0.000,0.000
1242000,4.080,4.048,4.032,4.336,0.000,0.000
1244000,3.984,4.080,4.032,3.856,0.000,0.000
1246000,3.952,3.856,4.096,4.304,0.000,0.000
1248000,4.368,4.048,4.032,3.904,0.000,0.000
1250000,3.840,4.224,4.144,4.096,0.000,0.000
1252000,4.096,4.080,3.648,3.904,0.000,0.000
1254000,4.080,3.584,4.416,4.320,0.000,0.000
1256000,4.016,4.288,4.000,3.920,0.000,0.000
1258000,4.032,4.560,4.080,4.224,0.000,0.000
1260000,3.936,3.920,3.888,4.016,0.000,0.000
1262000,4.320,3.664,4.192,4.112,0.000,0.000
1264000,4.048,4.096,4.096,3.904,0.000,0.000
1266000,4.064,4.368,3.888,4.112,0.000,0.000
1268000,4.000,4.064,4.256,3.904,0.000,0.000
1270000,4.144,3.760,3.840,4.096,0.000,0.000
1272000,4.096,4.016,4.192,4.080,0.000,0.000
1274000,3.840,4.192,4.064,4.112,0.000,0.000
1276000,4.208,4.048,3.936,4.048,0.000,0.000
1278000,3.904,4.224,4.128,4.144,0.000,0.000
1280000,4.256,3.968,4.176,4.176,0.000,0.000
1282000,3.952,4.176,4.128,3.856,0.000,0.000
1284000,4.096,4.000,3.824,3.952,0.000,0.000
1286000,4.064,4.048,4.144,4.128,0.000,0.000
1288000,4.192,3.904,4.016,4.384,0.000,0.000
1290000,3.824,4.128,4.208,3.840,0.000,0.000
1292000,3.952,4.144,3.792,3.936,0.000,0.000
1294000,4.208,3.984,4.288,3.968,0.000,0.000
1296000,4.256,4.016,4.048,4.304,0.000,0.000
1298000,4.048,4.096,4.016,3.984,0.000,0.000
1300000,3.968,4.240,3.952,4.224,0.000,0.000
1302000,4.048,3.968,4.224,3.632,0.000,0.000
1304000,3.904,3.920,3.968,4.192,0.000,0.000
1306000,4.160,3.936,4.016,4.176,0.000,0.000
1308000,4.160,4.448,3.984,4.144,0.000,0.000
1310000,3.936,4.080,4.224,3.808,0.000,0.000
1312000,3.952,3.856,4.160,4.208,0.000,0.000
1314000,4.144,3.808,4.032,4.144,0.000,0.000
1316000,4.208,3.888,3.888,4.160,0.000,0.000
1318000,3.920,4.640,4.192,3.856,0.000,0.000
1320000,4.080,4.048,4.080,3.904,0.000,0.000
1322000,4.000,3.872,4.064,4.288,0.000,0.000
1324000,4.336,3.936,3.904,3.968,0.000,0.000
1326000,3.744,4.304,4.000,3.984,0.000,0.000
1328000,4.112,4.096,4.144,4.176,0.000,0.000
1330000,4.048,3.872,4.160,4.016,0.000,0.000
1332000,4.224,3.920,3.968,3.936,0.000,0.000
1334000,3.952,4.048,4.032,4.320,0.000,0.000
1336000,3.936,4.272,4.064,4.112,0.000,0.000
1338000,4.160,3.984,4.160,3.936,0.000,0.000
1340000,4.096,3.984,4.032,4.128,0.000,0.000
