cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
6000,10,0,34,564,0,0
8000,8,2,82,1908,0,2
10000,8,2,81,1909,0,2
12000,12,3,82,1903,0,3
14000,12,2,86,1900,0,2
16000,8,3,88,1901,0,3
18000,12,3,89,1895,1,3
20000,8,2,83,1907,0,2
22000,12,3,83,1902,0,3
24000,8,2,83,1907,0,2
26000,12,2,84,1902,0,2
28000,8,1,82,1909,0,1
30000,12,2,85,1901,0,2
32000,8,0,82,1909,1,0
34000,8,0,77,1915,0,0
36000,16,0,80,1904,0,0
38000,8,0,77,1915,0,0
40000,8,0,83,1909,0,0
42000,8,0,77,1915,0,0
44000,12,1,79,1908,0,1
46000,8,0,79,1913,0,0
48000,8,0,82,1910,0,0
50000,12,0,84,1904,0,0
52000,12,0,78,1910,0,0
54000,8,0,87,1905,0,0
56000,9,0,86,1905,0,0
58000,13,0,86,1901,0,0
60000,12,0,80,1908,0,0
62000,8,0,83,1909,0,0
64000,8,0,81,1911,0,0
66000,8,0,82,1910,0,0
68000,16,0,83,1901,0,0
70000,8,0,83,1909,0,0
72000,8,0,77,1915,0,0
74000,8,0,87,1905,0,0
76000,12,0,83,1905,0,0
78000,12,0,81,1907,0,0
80000,8,0,83,1909,0,0
82000,8,0,80,1912,0,0
84000,16,0,84,1900,0,0
86000,8,0,85,1907,0,0
88000,8,0,81,1911,0,0
90000,8,0,85,1907,0,0
92000,16,0,83,1901,0,0
94000,8,0,84,1908,0,0
96000,8,0,80,1912,0,0
98000,8,0,84,1908,0,0
100000,16,0,83,1901,0,0
102000,8,0,83,1909,0,0
104000,8,0,84,1908,0,0
106000,12,0,85,1903,0,0
108000,12,0,91,1897,0,0
110000,8,0,78,1914,0,0
112000,12,0,78,1910,0,0
114000,8,0,80,1912,0,0
116000,12,0,83,1905,0,0
118000,8,0,82,1910,0,0
120000,12,0,83,1905,0,0
122000,12,0,84,1904,0,0
124000,12,0,87,1901,0,0
126000,8,0,85,1907,0,0
128000,12,0,82,1906,0,0
130000,12,0,87,1901,0,0
132000,8,0,82,1910,0,0
134000,8,0,80,1912,0,0
136000,12,0,85,1903,0,0
138000,12,0,85,1903,0,0
140000,8,0,82,1910,0,0
142000,12,0,81,1907,0,0
144000,8,0,79,1913,0,0
146000,12,0,84,1904,0,0
148000,8,0,77,1915,0,0
150000,8,0,78,1914,0,0
152000,8,0,81,1911,0,0
154000,16,0,81,1903,0,0
156000,8,0,80,1912,0,0
158000,12,0,101,1887,0,0
160000,12,0,81,1907,0,0
162000,8,0,83,1909,0,0
164000,8,0,84,1908,0,0
166000,12,0,79,1909,0,0
168000,12,0,86,1902,0,0
170000,8,0,85,1907,0,0
172000,8,0,78,1546,0,0
174000,8,0,81,1062,0,0
176000,16,0,84,1303,0,0
178000,8,0,79,1028,0,0
180000,8,0,79,993,0,0
182000,8,0,78,1289,0,0
184000,12,0,83,1670,0,0
186000,12,0,74,861,0,0
188000,8,0,71,616,0,0
190000,8,0,80,766,0,0
192000,8,0,77,1450,0,0
194000,8,0,83,1682,0,0
196000,12,0,76,741,0,0
198000,8,0,75,1107,0,0
200000,8,0,73,571,0,0
202000,12,0,73,511,0,0
204000,8,0,76,666,0,0
206000,12,0,74,530,0,0
208000,8,0,88,955,0,0
210000,12,0,74,1058,0,0
212000,8,0,88,1904,0,0
214000,8,0,84,1908,0,0
216000,16,0,82,1902,0,0
218000,8,0,85,1907,0,0
220000,8,0,85,1635,0,0
222000,16,0,81,238,0,0
224000,8,0,82,201,0,0
226000,8,0,86,304,0,0
228000,12,0,86,744,0,0
230000,12,0,85,894,0,0
232000,8,0,87,419,0,0
234000,12,0,85,851,0,0
236000,12,0,87,954,0,0
238000,8,0,84,794,2,0
240000,12,0,84,676,2,0
242000,12,0,86,992,2,0
244000,12,0,86,1151,0,0
246000,8,0,85,990,2,0
248000,12,0,84,1087,2,0
250000,12,0,83,1823,2,0
252000,12,0,88,1190,0,0
254000,8,0,88,1016,2,0
256000,12,0,84,183,2,0
258000,12,0,85,1052,2,0
260000,12,0,78,1910,0,0
262000,8,0,72,1918,2,0
264000,8,0,72,1918,2,0
266000,8,0,79,1911,2,0
268000,12,0,77,1911,0,0
270000,14,0,81,1905,0,0
272000,12,0,78,1910,0,0
274000,10,0,81,1909,0,0
276000,20,0,78,1902,0,0
278000,10,0,79,1911,0,0
280000,8,0,80,1300,2,0
282000,20,0,80,1246,0,0
284000,12,0,86,1537,0,0
286000,10,0,76,1035,2,0
288000,20,0,75,1110,2,0
290000,8,0,79,1333,4,0
292000,10,0,77,1225,0,0
294000,16,0,81,1677,2,0
296000,16,0,78,1903,0,0
298000,14,0,84,1897,4,0
300000,10,0,80,1513,2,0
302000,14,0,80,1350,0,0
304000,16,0,75,1479,2,0
306000,12,0,82,1044,2,0
308000,6,0,77,1506,11,0
310000,10,0,85,1901,4,0
312000,8,0,81,1906,5,0
314000,12,0,87,1895,6,0
316000,6,0,82,1910,2,0
318000,4,0,81,1910,5,0
320000,14,0,90,1891,5,0
322000,10,0,86,1902,2,0
324000,14,0,85,1639,3,0
326000,12,0,83,1902,3,0
328000,10,0,73,1533,6,0
330000,10,0,90,1895,5,0
332000,12,0,88,1897,3,0
334000,8,0,74,1234,3,0
336000,16,0,74,776,6,0
338000,8,0,78,1586,7,0
340000,12,0,84,1572,2,0
342000,12,0,77,1371,6,0
344000,12,0,75,1471,3,0
346000,13,0,80,1427,6,0
348000,5,0,86,1633,9,0
350000,10,0,77,1589,7,0
352000,8,0,86,794,9,0
354000,6,0,89,1250,8,0
356000,8,0,99,1695,12,0
358000,10,0,84,1903,3,0
360000,14,0,87,1676,5,0
362000,6,0,93,1634,7,0
364000,12,0,69,1215,5,0
366000,6,0,72,1217,7,0
368000,8,0,82,1558,7,0
370000,8,0,86,1819,7,0
372000,8,0,77,1279,7,0
374000,8,0,77,1374,10,0
376000,6,0,77,1644,6,0
378000,12,0,77,1164,5,0
380000,8,0,82,1650,6,0
382000,8,0,78,1524,6,0
384000,8,0,75,1413,8,0
386000,8,0,82,1781,5,0
388000,15,0,76,1621,2,0
390000,13,0,83,1504,6,0
392000,8,0,83,1268,3,0
394000,12,0,76,1544,8,0
396000,12,0,80,1487,7,0
398000,16,0,79,376,9,0
400000,8,0,90,908,10,0
402000,16,0,105,962,7,0
404000,16,0,110,1705,5,0
406000,11,0,83,1900,6,0
408000,14,0,82,1900,4,0
410000,22,0,86,1871,0,0
412000,14,0,86,1470,2,0
414000,22,0,76,1136,4,0
416000,14,0,73,1409,0,0
418000,12,0,83,1901,4,0
420000,24,0,76,1356,2,0
422000,14,0,74,1233,4,0
424000,12,0,79,1081,0,0
426000,24,0,78,1428,2,0
428000,13,0,80,1596,4,0
430000,21,0,77,1519,2,0
432000,16,0,72,1254,2,0
434000,14,0,73,667,0,0
436000,24,0,81,1086,0,0
438000,18,0,79,1198,0,0
440000,14,0,71,394,2,0
442000,20,0,96,1257,6,0
444000,26,0,98,1105,2,0
446000,28,0,104,820,0,0
448000,22,0,98,1314,4,0
450000,31,0,101,1587,0,0
452000,19,0,90,1889,2,0
454000,23,0,81,1896,0,0
456000,19,0,86,1893,2,0
458000,22,0,88,1860,0,0
460000,22,0,83,1777,4,0
462000,16,0,81,1712,2,0
464000,18,0,78,1307,2,0
466000,16,0,78,1250,2,0
468000,16,0,85,1864,2,0
470000,18,0,76,1461,2,0
472000,16,0,86,1674,4,0
474000,22,0,80,1631,0,0
476000,12,0,73,1056,4,0
478000,14,0,77,1901,8,0
480000,12,0,76,1641,10,0
482000,20,0,85,898,4,0
484000,32,0,110,1230,4,0
486000,28,0,100,949,6,0
488000,16,0,102,657,8,0
490000,18,0,82,217,4,0
492000,26,0,86,767,8,0
494000,22,0,77,76,10,0
496000,18,0,82,1323,2,0
498000,14,0,91,1885,10,0
500000,16,0,80,1892,12,0
502000,20,0,83,1176,10,0
504000,12,0,77,704,8,0
506000,16,0,84,972,8,0
508000,19,0,78,736,10,0
510000,20,0,76,476,8,0
512000,21,0,84,581,6,0
514000,28,0,76,596,7,0
516000,28,0,78,214,7,0
518000,28,0,75,172,12,0
520000,44,0,83,484,7,0
522000,56,0,81,277,4,0
524000,32,0,77,12,11,0
526000,24,0,90,463,8,0
528000,29,0,82,76,8,0
530000,44,0,90,213,8,0
532000,40,0,66,0,4,0
534000,38,0,59,0,13,0
536000,39,0,77,354,9,0
538000,30,0,74,254,4,0
540000,22,0,68,0,8,0
542000,26,0,62,0,8,0
544000,38,0,64,3,8,0
546000,36,0,50,0,4,0
548000,32,0,50,0,8,0
550000,28,0,38,0,2,0
552000,44,0,54,66,10,0
554000,38,0,63,44,2,0
556000,16,0,64,0,12,0
558000,42,0,52,0,0,0
560000,44,0,29,0,10,0
562000,36,0,19,137,10,0
564000,28,0,50,0,10,0
566000,30,0,40,54,6,0
568000,36,0,33,0,8,0
570000,32,0,53,0,2,0
572000,30,0,58,0,8,0
574000,26,0,70,191,6,0
576000,26,0,51,0,4,0
578000,32,0,30,0,8,0
580000,24,0,24,0,4,0
582000,36,0,18,0,6,0
584000,28,0,48,49,4,0
586000,20,0,55,0,4,0
588000,26,0,57,0,11,0
590000,14,0,57,0,6,0
592000,38,0,40,0,6,0
594000,36,0,18,0,8,0
596000,28,0,21,0,12,0
598000,20,0,19,0,10,0
600000,32,0,31,0,9,0
602000,24,0,28,0,3,0
604000,14,0,54,59,13,0
606000,16,0,66,0,11,0
608000,28,0,66,123,9,0
610000,29,0,47,0,17,0
612000,35,0,22,0,6,0
614000,32,0,23,0,4,0
616000,32,0,21,0,6,0
618000,32,0,32,0,2,0
620000,28,0,16,0,8,0
622000,26,0,63,37,14,0
624000,12,0,57,0,9,0
626000,24,0,65,0,20,0
628000,44,0,59,17,16,0
630000,28,0,44,0,9,0
632000,24,0,20,0,11,0
634000,28,0,30,0,6,0
636000,36,0,21,0,4,0
638000,28,0,29,0,4,0
640000,34,0,15,0,6,0
642000,30,0,56,0,8,0
644000,32,0,58,38,4,0
646000,42,0,58,0,8,0
648000,36,0,68,0,6,0
650000,41,0,30,0,4,0
652000,41,0,36,0,10,0
654000,43,0,52,0,0,0
656000,59,0,52,0,6,0
658000,45,0,42,0,14,0
660000,36,0,26,0,6,0
662000,40,0,20,0,10,0
664000,41,0,22,0,4,0
666000,33,0,26,0,12,0
668000,30,0,30,0,6,0
670000,37,0,42,0,6,0
672000,45,0,47,0,2,0
674000,30,0,49,0,13,0
676000,46,0,42,0,5,0
678000,44,0,48,0,12,0
680000,50,0,55,0,9,0
682000,40,0,38,0,0,0
684000,42,0,32,0,4,0
686000,42,0,26,0,0,0
688000,42,0,42,0,10,0
690000,56,0,21,0,6,0
692000,44,0,33,0,16,0
694000,50,0,22,0,6,0
696000,50,0,36,0,12,0
698000,60,0,44,0,4,0
700000,65,0,38,0,6,0
702000,59,0,44,0,10,0
704000,38,0,10,0,7,0
706000,28,0,32,0,11,0
708000,36,0,22,0,5,0
710000,44,0,32,0,9,0
712000,34,0,30,0,4,0
714000,46,0,24,0,4,0
716000,44,0,48,0,6,0
718000,67,0,45,0,4,0
720000,56,0,52,0,12,0
722000,65,0,16,0,14,0
724000,49,0,28,0,14,0
726000,52,0,12,0,14,0
728000,36,0,18,0,10,0
730000,46,0,20,0,7,0
732000,67,0,26,0,11,0
734000,67,0,6,0,10,0
736000,78,0,29,0,27,0
738000,78,0,32,0,14,0
740000,50,0,49,0,14,0
742000,65,0,28,0,10,0
744000,42,0,20,0,10,0
746000,46,0,10,0,20,0
748000,36,0,22,0,12,0
750000,74,0,20,0,10,0
752000,48,0,12,0,16,0
754000,70,0,37,0,8,0
756000,60,0,39,0,12,0
758000,62,0,41,0,16,0
760000,74,0,7,0,22,0
762000,52,0,26,0,13,0
764000,43,0,23,0,13,0
766000,44,0,13,0,18,0
768000,32,0,15,0,14,0
770000,40,0,16,0,14,0
772000,79,0,24,0,12,0
774000,60,0,38,0,10,0
776000,70,0,28,0,26,0
778000,74,0,18,0,12,0
780000,62,0,42,0,12,0
782000,58,0,30,0,10,0
784000,38,0,19,0,12,0
786000,44,0,21,0,6,0
788000,40,0,23,0,16,0
790000,45,0,13,0,10,0
792000,65,0,16,0,20,0
794000,84,0,14,0,14,0
796000,72,0,24,0,10,0
798000,54,0,32,0,16,0
800000,44,0,36,0,11,0
802000,60,0,22,0,13,0
804000,44,0,22,0,16,0
806000,44,0,14,0,10,0
808000,48,0,14,0,13,0
810000,48,0,6,0,21,0
812000,56,0,8,0,20,0
814000,48,0,18,0,21,0
816000,58,0,14,0,17,0
818000,56,0,10,0,22,0
820000,52,0,8,0,10,0
822000,60,0,10,0,24,0
824000,56,0,8,0,18,0
826000,64,0,10,0,22,0
828000,44,0,8,0,16,0
830000,44,0,8,0,24,0
832000,32,0,20,0,10,0
834000,0,0,8,0,20,0
836000,0,0,18,0,12,0
838000,0,0,12,0,18,0
840000,0,0,12,0,12,0
842000,0,0,14,0,20,0
844000,0,0,6,0,8,0
846000,0,0,8,0,6,0
848000,0,0,2,0,10,0
850000,0,0,2,0,16,0
852000,0,0,4,0,10,0
854000,0,0,4,0,8,0
856000,0,0,0,0,14,0
858000,0,0,8,0,10,0
860000,0,0,2,0,14,0
862000,0,0,2,0,10,0
864000,0,0,4,0,8,0
866000,0,0,2,0,14,0
868000,0,0,4,0,8,0
870000,0,0,4,0,12,0
872000,0,0,2,0,14,0
874000,0,0,4,0,10,0
876000,0,0,4,0,8,0
878000,0,0,2,0,14,0
880000,0,0,4,0,8,0
882000,0,0,0,0,11,0
