cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
6000,11,0,32,602,0,0
8000,5,0,96,1899,0,0
10000,4,0,80,1916,0,0
12000,12,0,80,1908,0,0
14000,16,0,82,1902,0,0
16000,4,0,81,1915,0,0
18000,12,0,82,1906,0,0
20000,15,0,82,1903,0,0
22000,5,0,77,1918,0,0
24000,8,0,84,1908,0,0
26000,8,0,84,1908,0,0
28000,15,0,80,1905,0,0
30000,9,0,84,1907,0,0
32000,8,0,77,1915,0,0
34000,16,0,80,1904,0,0
36000,4,0,82,1914,0,0
38000,12,0,82,1906,0,0
40000,8,0,80,1607,0,0
42000,8,0,81,1873,0,0
44000,12,0,72,1381,0,0
46000,8,0,83,1909,0,0
48000,12,0,82,1906,0,0
50000,8,0,67,1274,0,0
52000,11,0,80,1660,0,0
54000,9,0,71,915,0,0
56000,8,0,85,1907,0,0
58000,12,0,67,1474,0,0
60000,4,0,78,918,0,0
62000,12,0,77,1659,0,0
64000,12,0,66,1157,0,0
66000,8,0,85,1907,0,0
68000,12,0,63,1201,0,0
70000,4,0,82,1838,0,0
72000,16,0,76,1657,0,0
74000,8,0,74,1274,0,0
76000,8,0,80,1555,0,0
78000,12,0,75,1338,0,0
80000,4,0,77,1569,0,0
82000,16,0,69,1503,0,0
84000,8,0,80,1912,0,0
86000,8,0,82,1910,0,0
88000,12,0,76,1912,0,0
90000,8,0,79,1913,0,0
92000,12,0,74,1898,0,0
94000,8,0,81,1778,0,0
96000,12,0,77,1160,0,0
98000,8,0,80,1421,0,0
100000,12,0,76,1759,0,0
102000,12,0,82,1747,0,0
104000,4,0,79,1518,0,0
106000,16,0,73,1399,0,0
108000,8,0,77,1542,0,0
110000,8,0,77,839,0,0
112000,16,0,90,1471,0,0
114000,8,0,88,1904,0,0
116000,8,0,80,1604,0,0
118000,12,0,73,1116,0,0
120000,8,0,80,1403,0,0
122000,12,0,79,1257,0,0
124000,12,0,83,1242,0,0
126000,8,0,81,1329,0,0
128000,12,0,74,674,0,0
130000,4,0,80,1440,0,0
132000,12,0,77,803,0,0
134000,12,0,78,1265,0,0
136000,4,0,70,1172,0,0
138000,12,0,80,1878,0,0
140000,8,0,81,1877,0,0
142000,12,0,72,1574,0,0
