cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
6000,12,0,32,602,0,0
8000,4,0,95,1901,0,0
10000,12,0,79,1909,0,0
12000,7,0,80,1913,0,0
14000,13,0,80,1907,0,0
16000,12,0,82,1906,0,0
18000,0,0,82,1918,0,0
20000,16,0,77,1907,0,0
22000,12,0,78,1910,0,0
24000,7,0,81,1912,0,0
26000,9,0,83,1908,0,0
28000,8,0,79,1913,0,0
30000,12,0,82,1906,0,0
32000,8,0,78,1914,0,0
34000,12,0,81,1907,0,0
36000,16,0,83,1901,0,0
38000,0,0,79,1921,0,0
40000,16,0,85,1899,0,0
42000,8,0,81,1911,0,0
44000,8,0,79,1896,0,0
46000,16,0,82,1902,0,0
48000,8,0,80,1912,0,0
50000,8,0,72,1621,0,0
52000,12,0,77,1911,0,0
54000,4,0,74,1108,0,0
56000,16,0,86,1879,0,0
58000,8,0,66,1483,0,0
60000,4,0,77,884,0,0
62000,16,0,78,1648,0,0
64000,4,0,66,1171,0,0
66000,12,0,83,1905,0,0
68000,12,0,66,1256,0,0
70000,4,0,79,1845,0,0
72000,16,0,79,1687,0,0
74000,8,0,73,1379,0,0
76000,8,0,80,1610,0,0
78000,12,0,75,1330,0,0
80000,4,0,77,1565,0,0
82000,16,0,69,1504,0,0
84000,8,0,79,1913,0,0
86000,8,0,80,1912,0,0
88000,12,0,75,1913,0,0
90000,8,0,78,1914,0,0
92000,12,0,74,1914,0,0
94000,8,0,83,1909,0,0
96000,12,0,80,1604,0,0
98000,12,0,80,1389,0,0
100000,8,0,76,1759,0,0
102000,12,0,82,1855,0,0
104000,4,0,79,1525,0,0
106000,16,0,74,1381,0,0
108000,8,0,76,1557,0,0
110000,8,0,77,837,0,0
112000,16,0,87,1479,0,0
114000,8,0,86,1906,0,0
116000,8,0,85,1862,0,0
118000,12,0,73,1130,0,0
120000,12,0,80,1427,0,0
122000,8,0,79,1336,0,0
124000,12,0,79,1266,0,0
126000,12,0,85,1387,0,0
128000,10,0,74,663,0,0
130000,6,0,81,1420,0,0
132000,16,0,76,796,0,0
134000,4,0,78,1411,0,0
136000,8,0,70,1171,0,0
138000,16,0,80,1873,0,0
140000,4,0,81,1915,0,0
142000,12,0,72,1566,0,0
144000,12,0,70,1503,0,0
146000,4,0,82,1914,0,0
148000,16,0,80,1856,0,0
150000,0,0,78,1190,0,0
152000,16,0,73,1534,0,0
154000,8,0,69,1600,0,0
156000,8,0,84,1712,0,0
158000,16,0,77,1406,0,0
160000,0,0,77,1845,0,0
162000,16,0,76,1645,0,0
164000,8,0,82,1910,0,0
166000,8,0,82,1910,0,0
168000,16,0,77,1806,0,0
170000,0,0,82,1815,0,0
172000,16,0,79,1854,0,0
174000,8,0,73,1188,0,0
176000,8,0,78,1102,0,0
178000,16,0,76,895,0,0
180000,4,0,77,915,0,0
182000,12,0,79,1057,0,0
184000,8,0,74,1345,0,0
186000,8,0,79,1207,0,0
188000,16,0,80,1551,0,0
190000,4,0,79,1262,0,0
192000,12,0,79,1753,0,0
194000,12,0,76,1246,0,0
196000,4,0,76,1607,0,0
198000,16,0,75,1422,0,0
200000,4,0,79,1852,0,0
202000,12,0,72,932,0,0
204000,12,0,83,1266,0,0
206000,4,0,81,1384,0,0
208000,16,0,80,1377,0,0
210000,4,0,76,721,0,0
212000,12,0,70,771,0,0
214000,8,0,89,1371,3,0
216000,4,0,77,432,0,0
218000,12,0,82,1903,3,0
220000,4,0,82,1911,3,0
222000,8,0,83,1909,0,0
224000,8,0,79,1910,3,0
226000,4,0,78,1915,3,0
228000,12,0,80,1908,0,0
230000,8,0,82,1907,3,0
232000,4,0,80,1914,2,0
234000,8,0,79,1913,0,0
236000,8,0,79,1910,3,0
238000,8,0,85,1906,1,0
240000,8,0,78,1914,0,0
242000,4,0,79,1915,2,0
244000,12,0,82,1904,2,0
246000,8,0,76,1916,0,0
248000,4,0,78,1915,3,0
250000,4,0,71,1512,0,0
252000,12,0,77,1762,3,0
254000,8,0,77,1909,3,0
256000,4,0,78,1918,0,0
258000,8,0,71,1733,3,0
260000,4,0,78,1764,0,0
262000,12,0,79,1783,3,0
264000,4,0,70,1020,3,0
266000,8,0,80,1813,0,0
268000,8,0,77,1912,3,0
270000,8,0,86,1896,3,0
272000,8,0,81,1691,0,0
274000,4,0,68,1419,3,0
276000,8,0,67,1002,0,0
278000,12,0,84,1902,1,0
280000,0,0,76,1771,0,0
282000,12,0,82,1369,1,0
284000,3,0,77,1435,2,0
286000,9,0,84,1731,0,0
288000,8,0,73,1157,2,0
290000,4,0,79,1524,0,0
292000,12,0,75,1234,3,0
294000,8,0,88,1779,3,0
296000,4,0,72,1167,0,0
298000,8,0,76,1659,3,0
300000,4,0,80,1558,0,0
302000,12,0,68,917,5,0
304000,4,0,74,1012,3,0
306000,8,0,64,764,2,0
308000,8,0,75,1497,3,0
310000,4,0,75,878,2,0
312000,8,0,74,1536,3,0
314000,8,0,83,1595,0,0
316000,4,0,68,824,5,0
318000,8,0,71,1595,3,0
320000,8,0,78,1182,2,0
322000,4,0,84,963,6,0
324000,8,0,90,1478,5,0
326000,4,0,80,1290,3,0
328000,4,0,82,1842,6,0
330000,12,0,79,1279,2,0
332000,0,0,74,1437,3,0
334000,12,0,83,1647,2,0
336000,12,0,79,1223,3,0
338000,0,0,76,1567,5,0
340000,12,0,79,1418,0,0
342000,0,0,73,1470,3,0
344000,12,0,77,1425,5,0
346000,8,0,74,1221,0,0
348000,4,0,87,1508,3,0
350000,12,0,69,1141,2,0
352000,4,0,69,1249,5,0
354000,8,0,82,1848,0,0
356000,4,0,69,1199,3,0
358000,8,0,84,1739,3,0
360000,14,0,74,1213,0,0
362000,6,0,81,1691,3,0
364000,8,0,82,1744,3,0
366000,13,0,81,1388,0,0
368000,7,0,73,1065,3,0
370000,8,0,76,1218,0,0
372000,6,0,76,1407,3,0
374000,10,0,87,1732,3,0
376000,12,0,79,1546,0,0
378000,6,0,81,1675,3,0
380000,8,0,75,1221,2,0
382000,8,0,76,1025,3,0
384000,10,0,78,1025,3,0
386000,6,0,69,844,0,0
388000,10,0,81,1456,3,0
390000,8,0,79,1007,3,0
