cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
6000,6,0,28,576,0,0
8000,10,0,82,1908,0,0
10000,8,0,80,1912,0,0
12000,12,0,78,1910,0,0
14000,12,0,88,1900,0,0
16000,8,0,88,1904,0,0
18000,12,0,86,1902,0,0
20000,12,0,84,1904,0,0
22000,8,0,82,1910,0,0
24000,12,0,84,1904,0,0
26000,12,0,84,1904,0,0
28000,8,0,83,1854,0,0
30000,12,0,86,1902,0,0
32000,12,0,83,1905,0,0
34000,8,0,78,1828,0,0
36000,8,0,78,1249,0,0
38000,12,0,77,1174,0,0
40000,8,0,78,1052,0,0
42000,12,0,77,1522,0,0
44000,8,0,81,1730,0,0
46000,8,0,74,1402,0,0
48000,12,0,77,1438,0,0
50000,8,0,83,1208,0,0
52000,8,0,81,1187,0,0
54000,12,0,80,898,0,0
56000,12,0,82,477,0,0
58000,8,0,86,1886,0,0
60000,8,0,78,1113,0,0
62000,12,0,78,1194,0,0
64000,12,0,78,1021,0,0
66000,8,0,81,1151,0,0
68000,8,0,80,697,0,0
70000,12,0,82,1676,0,0
72000,8,0,79,1506,0,0
74000,12,0,74,1276,0,0
76000,8,0,84,1529,0,0
78000,8,0,83,979,0,0
80000,15,0,80,846,0,0
82000,9,0,81,696,0,0
84000,8,0,82,1177,0,0
86000,12,0,76,809,0,0
88000,8,0,79,955,0,0
90000,12,0,85,1307,0,0
92000,8,0,79,706,0,0
94000,12,0,80,601,0,0
96000,12,0,83,1686,0,0
98000,8,0,74,410,0,0
100000,8,0,80,582,0,0
102000,12,0,85,985,0,0
104000,8,0,77,851,0,0
106000,11,0,90,624,0,0
108000,5,0,88,1516,6,0
110000,4,0,83,1910,3,0
112000,8,0,85,1904,3,0
114000,4,0,86,1519,6,0
116000,4,0,82,936,3,0
118000,4,0,84,1063,3,0
120000,8,0,85,936,3,0
122000,4,0,87,1317,6,0
124000,4,0,86,1580,3,0
126000,8,0,83,1905,3,0
128000,4,0,86,1904,6,0
130000,4,0,87,1906,3,0
132000,8,0,81,1908,3,0
134000,4,0,81,1912,3,0
136000,4,0,83,1907,6,0
138000,4,0,83,1911,2,0
140000,8,0,84,1624,2,0
142000,4,0,83,1220,6,0
144000,4,0,81,816,2,0
146000,4,0,76,1284,3,0
148000,8,0,82,1137,3,0
150000,4,0,83,813,3,0
152000,4,0,84,1356,6,0
154000,8,0,82,1333,3,0
156000,4,0,80,667,3,0
158000,0,0,94,1489,9,0
160000,4,0,86,1500,5,0
162000,4,0,83,1160,2,0
164000,4,0,89,1436,5,0
166000,8,0,78,769,3,0
168000,4,0,76,1042,3,0
170000,4,0,82,1203,3,0
172000,4,0,75,949,3,0
174000,4,0,84,1142,6,0
176000,8,0,85,1602,3,0
178000,4,0,80,1093,3,0
180000,4,0,81,1084,3,0
182000,4,0,79,1240,6,0
184000,8,0,81,1747,3,0
186000,4,0,79,972,3,0
188000,4,0,71,673,3,0
190000,4,0,81,736,3,0
192000,8,0,78,1400,3,0
194000,4,0,86,1722,5,0
196000,4,0,74,954,3,0
198000,4,0,79,1502,3,0
200000,4,0,74,549,3,0
202000,4,0,74,556,3,0
204000,8,0,78,726,6,0
206000,4,0,75,739,3,0
208000,4,0,89,995,3,0
210000,4,0,75,1102,3,0
212000,12,0,87,1898,3,0
214000,16,0,84,1900,0,0
216000,8,0,83,1909,0,0
218000,8,0,84,1908,0,0
220000,16,0,84,1900,0,0
222000,8,0,84,331,0,0
224000,8,0,83,165,0,0
226000,12,0,85,235,0,0
228000,12,0,85,714,0,0
230000,8,0,87,887,0,0
232000,16,0,86,379,0,0
234000,8,0,85,853,0,0
236000,8,0,87,989,0,0
238000,16,0,85,851,2,0
240000,8,0,83,681,2,0
242000,8,0,86,1058,2,0
244000,16,0,86,1191,0,0
246000,8,0,85,1272,2,0
248000,8,0,85,1052,2,0
250000,16,0,83,1810,2,0
252000,8,0,87,987,0,0
254000,16,0,88,1203,2,0
256000,36,0,84,227,2,0
258000,36,0,84,985,2,0
260000,12,0,79,1909,0,0
262000,8,0,77,1913,2,0
264000,12,0,74,1912,2,0
266000,12,0,78,1908,2,0
268000,8,0,80,1658,0,0
270000,10,0,81,1731,0,0
272000,16,0,73,1591,0,0
274000,14,0,81,1905,0,0
276000,12,0,77,1531,0,0
278000,10,0,78,1566,0,0
280000,16,0,78,1106,2,0
282000,12,0,80,1199,0,0
284000,12,0,86,1428,0,0
286000,42,0,77,1020,2,0
288000,40,0,74,1096,2,0
290000,40,0,79,1280,4,0
292000,38,0,77,1190,0,0
294000,40,0,80,1697,2,0
296000,36,0,80,1847,0,0
298000,46,0,85,1775,4,0
300000,34,0,78,1458,2,0
302000,38,0,80,1363,0,0
304000,40,0,75,1428,2,0
306000,40,0,84,997,2,0
308000,21,0,73,1501,2,0
310000,35,0,83,1882,0,0
312000,44,0,80,1874,2,0
314000,40,0,84,1874,2,0
316000,42,0,85,1870,2,0
318000,32,0,81,1687,2,0
320000,18,0,80,1467,0,0
322000,23,0,86,1550,0,0
324000,13,0,74,1122,0,0
326000,24,0,83,1793,0,0
328000,14,0,70,1527,4,0
330000,18,0,89,1893,0,0
332000,20,0,86,1723,0,0
334000,12,0,71,1141,0,0
336000,20,0,72,770,0,0
338000,20,0,77,1569,4,0
340000,12,0,83,1330,0,0
342000,24,0,75,1318,0,0
344000,19,0,73,1429,0,0
346000,18,0,78,1390,0,0
348000,13,0,85,1639,6,0
350000,10,0,77,1540,4,0
352000,20,0,82,720,4,0
354000,34,0,85,1019,0,0
356000,24,0,98,1341,0,0
358000,20,0,83,1897,0,0
360000,19,0,81,1538,0,0
362000,15,0,91,1675,2,0
364000,16,0,68,1212,3,0
366000,10,0,70,1202,5,0
368000,16,0,83,1563,5,0
370000,20,0,82,1793,2,0
372000,8,0,77,1278,5,0
374000,20,0,75,1366,5,0
376000,10,0,74,1622,5,0
378000,16,0,77,1142,2,0
380000,20,0,79,1647,0,0
382000,8,0,78,1542,4,0
384000,16,0,72,1419,2,0
386000,20,0,83,1695,2,0
388000,20,0,72,1543,0,0
390000,20,0,81,1243,0,0
392000,40,0,82,1134,0,0
394000,36,0,74,1331,2,0
396000,24,0,79,1411,4,0
398000,45,0,78,314,6,0
400000,22,0,89,999,4,0
402000,31,0,101,697,2,0
404000,26,0,111,1801,0,0
406000,32,0,79,1847,0,0
408000,32,0,84,1880,4,0
410000,27,0,85,1710,0,0
412000,32,0,82,1410,2,0
414000,44,0,77,1074,4,0
416000,43,0,73,1405,0,0
418000,46,0,83,1867,4,0
420000,46,0,75,1336,2,0
422000,48,0,75,1134,4,0
424000,41,0,80,1050,0,0
426000,46,0,76,1429,2,0
428000,47,0,82,1601,4,0
430000,42,0,73,1507,2,0
432000,50,0,75,1234,2,0
434000,19,0,73,677,0,0
436000,26,0,82,1080,0,0
438000,24,0,79,1118,0,0
440000,15,0,70,401,2,0
442000,50,0,97,1110,6,0
444000,48,0,99,978,2,0
446000,60,0,102,813,0,0
448000,31,0,98,1091,4,0
450000,37,0,104,1421,0,0
452000,24,0,89,1885,2,0
454000,26,0,82,1892,0,0
456000,23,0,85,1883,2,0
458000,26,0,87,1716,0,0
460000,24,0,82,1790,4,0
462000,22,0,82,1799,2,0
464000,19,0,77,1347,2,0
466000,18,0,77,1328,2,0
468000,22,0,87,1838,2,0
470000,11,0,75,1406,2,0
472000,26,0,83,1678,4,0
474000,23,0,84,1622,0,0
476000,16,0,72,1072,4,0
478000,10,0,78,1904,8,0
480000,28,0,72,1567,10,0
482000,24,0,89,1002,7,0
484000,19,0,105,1759,11,0
486000,20,0,98,1868,14,0
488000,12,0,98,1875,15,0
490000,21,0,93,1866,20,0
492000,21,0,93,1869,17,0
494000,19,0,88,1870,23,0
496000,11,0,78,1858,19,0
498000,9,0,87,1883,21,0
500000,14,0,87,1856,43,0
502000,18,0,83,1866,33,0
504000,14,0,84,1876,26,0
506000,17,0,93,1863,27,0
508000,15,0,86,1868,31,0
510000,17,0,84,1865,34,0
512000,11,0,94,1863,32,0
514000,20,0,85,1865,30,0
516000,23,0,90,1853,34,0
518000,26,0,85,1852,37,0
520000,29,0,88,1868,15,0
522000,50,0,81,1855,14,0
524000,44,0,89,1833,27,0
526000,28,0,94,1856,22,0
528000,28,0,92,1369,26,0
530000,50,0,98,975,22,0
532000,40,0,68,404,16,0
534000,32,0,66,150,30,0
536000,30,0,72,1494,24,0
538000,18,0,77,1885,20,0
540000,26,0,74,1795,26,0
542000,34,0,73,1234,20,0
544000,26,0,68,208,22,0
546000,12,0,54,56,10,0
548000,20,0,53,0,17,0
550000,28,0,38,0,2,0
552000,24,0,53,94,16,0
554000,50,0,66,272,5,0
556000,20,0,66,0,18,0
558000,46,0,52,0,0,0
560000,48,0,29,0,10,0
562000,28,0,19,139,10,0
564000,28,0,50,0,10,0
566000,26,0,40,56,6,0
568000,36,0,34,0,8,0
570000,32,0,52,0,2,0
572000,38,0,58,0,8,0
574000,34,0,71,194,6,0
576000,38,0,51,0,4,0
578000,36,0,28,0,10,0
580000,18,0,24,0,4,0
582000,34,0,18,0,6,0
584000,28,0,48,47,4,0
586000,36,0,55,0,4,0
588000,34,0,56,0,8,0
590000,41,0,57,0,6,0
592000,39,0,40,0,6,0
594000,32,0,18,0,8,0
596000,36,0,21,0,12,0
598000,36,0,19,0,10,0
600000,20,0,30,0,6,0
602000,36,0,28,0,3,0
604000,30,0,52,62,7,0
606000,36,0,65,0,8,0
608000,36,0,61,63,2,0
610000,28,0,44,0,8,0
612000,40,0,22,0,6,0
614000,36,0,22,0,4,0
616000,36,0,22,0,6,0
618000,28,0,32,0,2,0
620000,28,0,16,0,8,0
622000,34,0,61,9,8,0
624000,36,0,54,0,0,0
626000,28,0,61,0,8,0
628000,56,0,57,4,10,0
630000,38,0,39,0,8,0
632000,28,0,19,0,8,0
634000,32,0,28,0,8,0
636000,32,0,21,0,4,0
638000,32,0,26,0,6,0
640000,26,0,16,0,6,0
642000,34,0,56,0,8,0
644000,28,0,59,31,4,0
646000,42,0,57,0,8,0
648000,24,0,68,0,6,0
650000,25,0,30,0,4,0
652000,33,0,36,0,10,0
654000,56,0,52,0,0,0
656000,46,0,52,0,6,0
658000,57,0,42,0,14,0
660000,32,0,26,0,6,0
662000,40,0,20,0,10,0
664000,34,0,22,0,4,0
666000,24,0,26,0,12,0
668000,31,0,30,0,6,0
670000,43,0,42,0,6,0
672000,38,0,46,0,2,0
674000,38,0,50,0,13,0
676000,42,0,42,0,5,0
678000,24,0,48,0,12,0
680000,22,0,55,0,9,0
682000,28,0,38,0,0,0
684000,26,0,33,0,4,0
686000,6,0,25,0,0,0
688000,34,0,42,0,10,0
690000,28,0,21,0,6,0
692000,36,0,33,0,16,0
694000,38,0,22,0,6,0
696000,34,0,36,0,12,0
698000,32,0,44,0,4,0
700000,49,0,38,0,6,0
702000,35,0,43,0,10,0
704000,42,0,10,0,8,0
706000,12,0,33,0,9,0
708000,12,0,22,0,5,0
710000,24,0,32,0,9,0
712000,22,0,30,0,4,0
714000,26,0,25,0,4,0
716000,44,0,47,0,6,0
718000,27,0,45,0,4,0
720000,37,0,52,0,12,0
722000,41,0,16,0,14,0
724000,32,0,28,0,14,0
726000,32,0,12,0,14,0
728000,16,0,18,0,10,0
730000,26,0,20,0,7,0
732000,43,0,26,0,11,0
734000,55,0,6,0,10,0
736000,42,0,30,0,26,0
738000,58,0,32,0,14,0
740000,30,0,49,0,14,0
742000,37,0,27,0,10,0
744000,18,0,21,0,10,0
746000,18,0,10,0,20,0
748000,24,0,22,0,12,0
750000,42,0,20,0,10,0
752000,28,0,12,0,16,0
754000,50,0,37,0,8,0
756000,44,0,39,0,12,0
758000,34,0,41,0,16,0
760000,42,0,7,0,22,0
762000,36,0,26,0,13,0
764000,18,0,24,0,13,0
766000,16,0,13,0,18,0
768000,16,0,15,0,14,0
770000,16,0,16,0,14,0
772000,47,0,24,0,12,0
774000,40,0,38,0,10,0
776000,42,0,28,0,26,0
778000,50,0,18,0,12,0
780000,26,0,42,0,12,0
782000,30,0,30,0,10,0
784000,22,0,19,0,12,0
786000,16,0,21,0,6,0
788000,20,0,23,0,16,0
790000,9,0,13,0,10,0
792000,49,0,16,0,20,0
794000,56,0,14,0,14,0
796000,52,0,24,0,10,0
798000,22,0,32,0,16,0
800000,40,0,36,0,11,0
802000,20,0,22,0,13,0
804000,24,0,22,0,16,0
806000,16,0,14,0,9,0
808000,16,0,14,0,13,0
810000,32,0,6,0,22,0
812000,12,0,8,0,20,0
814000,24,0,18,0,21,0
816000,34,0,14,0,17,0
818000,28,0,10,0,22,0
820000,27,0,8,0,10,0
822000,29,0,10,0,24,0
824000,32,0,8,0,18,0
826000,32,0,10,0,22,0
828000,48,0,8,0,16,0
830000,32,0,8,0,24,0
832000,32,0,20,0,10,0
834000,0,0,8,0,20,0
836000,0,0,18,0,12,0
838000,0,0,12,0,18,0
840000,0,0,12,0,12,0
842000,0,0,14,0,20,0
844000,0,0,6,0,8,0
846000,0,0,8,0,6,0
848000,0,0,2,0,10,0
850000,0,0,2,0,16,0
852000,0,0,4,0,10,0
854000,0,0,4,0,8,0
856000,0,0,0,0,14,0
858000,0,0,8,0,10,0
860000,0,0,2,0,14,0
862000,0,0,2,0,10,0
864000,0,0,4,0,8,0
866000,0,0,2,0,14,0
868000,0,0,4,0,8,0
870000,0,0,4,0,12,0
872000,0,0,2,0,14,0
874000,0,0,4,0,10,0
876000,0,0,4,0,8,0
878000,0,0,2,0,14,0
880000,0,0,4,0,8,0
882000,0,0,0,0,11,0
