cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
6000,15,0,32,603,0,0
8000,3,3,95,1899,0,3
10000,2,2,80,1916,0,2
12000,16,1,79,1904,0,1
14000,16,2,83,1899,0,2
16000,0,1,78,1921,0,1
18000,8,1,82,1909,0,1
20000,16,2,77,1905,0,2
22000,4,1,80,1915,0,1
24000,16,1,80,1903,0,1
26000,4,0,76,1920,0,0
28000,12,1,81,1906,0,1
30000,7,0,79,1914,0,0
32000,13,1,80,1906,0,1
34000,8,1,78,1913,0,1
36000,8,1,76,1915,0,1
38000,16,0,75,1909,0,0
40000,4,1,74,1921,0,1
42000,12,0,83,1905,0,0
44000,4,1,74,1921,0,1
46000,12,1,81,1906,0,1
48000,12,0,73,1915,0,0
50000,4,1,73,1922,0,1
52000,16,0,76,1908,0,0
54000,4,1,80,1915,0,1
56000,12,0,75,1913,0,0
58000,8,1,76,1914,1,1
60000,8,1,77,1914,0,1
62000,16,0,81,1903,0,0
64000,0,1,70,1929,0,1
66000,16,0,78,1906,0,0
68000,4,1,79,1916,0,1
70000,12,0,79,1909,0,0
72000,16,1,78,1905,0,1
74000,0,1,74,1925,0,1
76000,16,0,76,1908,0,0
78000,4,1,79,1916,0,1
80000,12,1,80,1907,0,1
82000,16,0,78,1906,0,0
84000,0,1,83,1915,1,1
86000,16,0,80,1904,0,0
88000,7,0,79,1913,1,0
90000,9,0,75,1916,0,0
92000,12,0,81,1907,0,0
94000,4,0,70,1926,0,0
96000,15,0,77,1908,0,0
98000,1,0,82,1917,0,0
100000,16,0,78,1906,0,0
102000,4,0,81,1915,0,0
104000,12,0,76,1912,0,0
106000,12,0,78,1910,0,0
108000,4,0,79,1917,0,0
110000,16,0,78,1906,0,0
112000,14,0,99,1887,0,0
114000,4,0,93,1903,0,0
116000,16,0,77,1907,0,0
118000,8,0,78,1914,0,0
120000,8,0,82,1910,0,0
122000,12,0,81,1907,0,0
124000,4,0,79,1917,0,0
126000,12,0,77,1911,0,0
128000,12,0,85,1903,0,0
130000,8,0,81,1911,0,0
132000,12,0,78,1910,0,0
134000,4,0,81,1915,0,0
136000,16,0,83,1901,0,0
138000,12,0,84,1904,0,0
140000,4,1,76,1918,1,1
142000,12,0,81,1907,0,0
144000,8,1,77,1914,0,1
146000,12,0,77,1911,0,0
148000,12,1,77,1910,0,1
150000,8,1,75,1916,0,1
152000,8,0,83,1909,0,0
154000,4,1,73,1922,0,1
156000,16,0,79,1905,0,0
158000,12,1,87,1900,0,1
160000,4,0,73,1923,0,0
162000,16,1,82,1901,0,1
164000,0,0,78,1921,1,0
166000,16,0,79,1905,0,0
168000,12,0,80,1908,0,0
170000,4,0,81,1915,0,0
172000,16,0,79,1905,0,0
174000,4,0,78,1918,0,0
176000,12,0,75,1913,0,0
178000,8,0,75,1917,0,0
180000,12,0,82,1906,0,0
182000,12,0,84,1904,0,0
184000,4,0,78,1918,0,0
186000,16,0,86,1898,0,0
188000,8,0,77,1915,0,0
190000,8,0,81,1911,0,0
192000,12,0,76,1911,1,0
194000,4,0,81,1915,0,0
196000,16,0,78,1906,0,0
198000,8,0,79,1913,0,0
200000,8,0,79,1913,0,0
202000,16,0,79,1905,0,0
204000,0,0,78,1922,0,0
206000,16,0,81,1903,0,0
208000,8,0,80,1912,0,0
210000,8,0,77,1915,0,0
212000,16,0,83,1901,0,0
214000,8,0,76,1916,0,0
216000,8,0,93,1899,0,0
218000,16,0,99,1885,0,0
220000,8,0,83,1909,0,0
222000,8,0,84,1908,0,0
224000,12,0,81,1907,0,0
226000,8,0,80,1912,0,0
228000,12,0,81,1907,0,0
230000,8,0,80,1912,0,0
232000,8,0,74,1918,0,0
234000,16,0,82,1902,0,0
236000,8,0,77,1915,0,0
238000,8,0,76,1916,0,0
240000,8,0,76,1916,0,0
242000,12,0,76,1912,0,0
244000,12,0,78,1910,0,0
246000,4,0,79,1917,0,0
248000,12,0,79,1909,0,0
250000,6,0,72,1922,0,0
252000,10,0,77,1913,0,0
254000,8,0,76,1916,0,0
256000,8,0,74,1918,0,0
258000,15,0,69,1916,0,0
260000,1,0,77,1922,0,0
262000,16,0,73,1911,0,0
264000,0,0,78,1922,0,0
266000,16,0,75,1909,0,0
268000,12,0,74,1914,0,0
270000,4,0,83,1913,0,0
272000,16,0,75,1909,0,0
274000,0,0,76,1924,0,0
276000,16,0,74,1910,0,0
278000,12,0,76,1912,0,0
280000,4,0,79,1917,0,0
282000,16,0,73,1911,0,0
284000,4,0,78,1918,0,0
286000,12,0,83,1905,0,0
288000,16,0,77,1907,0,0
290000,4,0,76,1920,0,0
292000,12,0,77,1911,0,0
294000,12,0,79,1909,0,0
296000,8,0,79,1913,0,0
298000,8,0,75,1917,0,0
300000,12,0,78,1910,0,0
302000,12,0,76,1912,0,0
304000,4,0,63,1931,2,0
306000,12,0,80,1908,0,0
308000,8,0,71,1919,2,0
310000,12,0,81,1907,0,0
312000,12,0,77,1909,2,0
314000,4,0,75,1921,0,0
316000,12,0,76,1912,0,0
318000,12,0,79,1907,2,0
320000,8,0,84,1908,0,0
322000,12,0,90,1896,2,0
324000,12,0,92,1894,2,0
326000,12,0,88,1900,0,0
328000,8,0,76,1916,0,0
330000,12,0,84,1902,2,0
332000,12,0,80,1908,0,0
334000,8,0,84,1906,2,0
336000,8,0,81,1526,0,0
338000,8,0,75,1489,2,0
340000,8,0,78,1487,0,0
342000,16,0,72,1453,0,0
344000,8,0,77,1480,2,0
346000,8,0,75,1188,0,0
348000,12,0,85,1514,0,0
350000,4,0,69,1190,2,0
352000,12,0,68,1248,2,0
354000,12,0,83,1839,0,0
356000,8,0,69,1125,0,0
358000,8,0,82,1688,0,0
360000,10,0,72,1175,0,0
362000,18,0,82,1753,0,0
364000,8,0,82,1482,0,0
366000,10,0,80,1277,0,0
368000,10,0,70,1125,0,0
370000,16,0,76,1225,0,0
372000,10,0,77,1444,0,0
374000,10,0,85,1630,0,0
376000,12,0,78,1620,0,0
378000,10,0,80,1523,0,0
380000,12,0,75,1202,2,0
382000,8,0,76,1034,0,0
384000,10,0,77,998,0,0
386000,10,0,70,968,0,0
388000,18,0,79,1586,0,0
390000,8,0,78,1081,0,0
392000,10,0,82,1244,0,0
394000,14,0,75,922,0,0
396000,12,0,77,1128,0,0
398000,10,0,73,1260,0,0
400000,10,0,83,1650,0,0
402000,8,0,80,1666,2,0
404000,12,0,63,801,0,0
406000,10,0,78,1912,0,0
408000,12,0,84,1604,0,0
410000,10,0,64,1130,0,0
412000,10,0,78,1718,0,0
414000,16,0,83,1562,0,0
416000,6,0,73,1420,0,0
418000,14,0,80,1906,0,0
420000,10,0,72,1408,0,0
422000,8,0,71,1268,0,0
424000,14,0,95,1888,3,0
426000,0,0,83,1455,3,0
428000,12,0,82,1906,0,0
430000,12,0,89,1897,2,0
432000,2,0,87,1896,15,0
434000,12,0,78,1910,0,0
436000,9,0,86,1904,1,0
438000,7,0,85,1908,0,0
440000,12,0,82,1903,3,0
442000,6,0,86,1905,3,0
444000,10,0,85,1905,0,0
446000,12,0,83,1902,3,0
448000,2,0,81,1914,3,0
450000,14,0,84,1902,0,0
452000,12,0,83,1901,4,0
454000,0,0,80,1917,3,0
456000,14,0,82,1904,0,0
458000,14,0,79,1905,2,0
460000,0,0,81,1916,3,0
462000,14,0,83,1903,0,0
464000,14,0,83,1900,3,0
466000,0,0,85,1912,3,0
468000,14,0,84,1902,0,0
470000,13,0,84,1900,3,0
472000,3,0,82,1890,3,0
474000,12,0,84,1830,2,0
476000,8,0,81,1438,3,0
478000,6,0,62,1137,0,0
480000,12,0,76,1125,3,0
482000,3,0,73,1375,3,0
484000,9,0,82,1794,0,0
486000,14,0,82,1780,3,0
488000,4,0,77,562,0,0
490000,10,0,86,1152,3,0
492000,10,0,75,1448,3,0
494000,8,0,73,1362,0,0
496000,10,0,79,1531,3,0
498000,8,0,84,1469,5,0
500000,4,0,71,1505,0,0
502000,10,0,81,1842,3,0
504000,14,0,74,1127,0,0
506000,4,0,80,1736,3,0
508000,10,0,76,1103,3,0
510000,8,0,67,1235,0,0
512000,6,0,72,1605,3,0
514000,14,0,82,1690,5,0
516000,4,0,80,1722,0,0
518000,10,0,85,1866,7,0
520000,14,0,87,1670,23,0
522000,4,0,91,1554,3,0
524000,4,0,86,1237,23,0
526000,16,0,99,1280,11,0
528000,22,0,91,779,5,0
530000,38,0,91,1733,3,0
532000,8,0,79,1906,7,0
534000,38,0,84,1873,5,0
536000,32,0,68,1350,7,0
538000,10,0,81,1705,4,0
540000,42,0,76,1471,5,0
542000,6,0,78,1844,2,0
544000,36,0,83,1683,3,0
546000,22,0,73,1344,7,0
548000,20,0,70,1319,4,0
550000,24,0,74,1551,7,0
552000,22,0,75,1580,2,0
554000,38,0,81,920,7,0
556000,8,0,68,111,3,0
558000,38,0,83,1289,2,0
560000,6,0,81,1851,3,0
562000,40,0,69,802,9,0
564000,6,0,83,1911,0,0
566000,38,0,78,1068,9,0
568000,28,0,79,287,5,0
570000,14,0,83,1042,2,0
572000,42,0,80,359,5,0
574000,6,0,81,407,3,0
576000,14,0,84,512,0,0
578000,20,0,80,272,5,0
580000,12,0,75,491,2,0
582000,8,0,76,1230,7,0
584000,20,0,80,449,7,0
586000,14,0,77,729,7,0
588000,6,0,80,891,2,0
590000,20,0,87,897,3,0
592000,18,0,80,626,7,0
594000,2,0,79,999,2,0
596000,12,0,73,441,11,0
598000,18,0,73,138,7,0
600000,2,0,66,119,4,0
602000,16,0,62,631,11,0
604000,18,0,74,497,6,0
606000,2,0,72,445,9,0
608000,12,0,57,352,8,0
610000,14,0,78,1615,11,0
612000,8,0,55,213,9,0
614000,10,0,88,1894,8,0
616000,16,0,66,830,7,0
618000,10,0,75,1548,19,0
620000,4,0,83,1597,2,0
622000,12,0,70,1126,11,0
624000,4,0,86,1321,5,0
626000,8,0,88,987,4,0
628000,12,0,83,164,3,0
630000,8,0,88,1899,5,0
632000,17,0,79,1896,8,0
634000,15,0,80,1878,2,0
636000,44,0,79,1420,12,0
638000,4,0,87,1571,2,0
640000,12,0,79,1252,6,0
642000,16,0,85,863,2,0
644000,12,0,93,1374,2,0
646000,4,0,77,925,9,0
648000,16,0,84,1188,1,0
650000,12,0,81,1247,10,0
652000,8,0,85,1903,4,0
654000,12,0,85,1901,2,0
656000,18,0,91,1891,0,0
658000,14,0,97,1889,0,0
660000,8,0,90,1874,0,0
662000,14,0,97,1011,0,0
664000,18,0,92,972,0,0
666000,14,0,96,1660,0,0
668000,10,0,91,1639,0,0
670000,14,0,96,1766,0,0
672000,16,0,92,1889,0,0
674000,8,0,95,1895,2,0
676000,10,0,88,1902,0,0
678000,18,0,93,1889,0,0
680000,12,0,94,1894,0,0
682000,10,0,89,1901,0,0
684000,14,0,92,1894,0,0
686000,18,0,90,1892,0,0
688000,13,0,88,1899,0,0
690000,5,0,87,1908,0,0
692000,18,0,95,1887,0,0
694000,16,0,95,1887,2,0
696000,12,0,89,1607,0,0
698000,6,0,87,798,2,0
700000,14,0,78,847,0,0
702000,18,0,91,1676,2,0
704000,6,0,82,1207,2,0
706000,12,0,85,1247,0,0
