Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.016690
4000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
6000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.733486
8000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.442291
10000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.584757
12000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.582168
14000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.584874
16000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.439794
18000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.600874
20000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.557012
22000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.458208
24000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.575908
26000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.577497
28000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.449006
30000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.575052
32000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.559370
34000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.523128
36000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.503440
38000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.586285
40000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.575353
42000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.446135
44000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.579093
46000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.560493
48000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.464139
50000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.561501
52000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.588114
54000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.427936
56000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.589240
58000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.561032
60000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.526082
62000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.498714
64000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.579241
66000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.575448
68000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.438808
70000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.586443
72000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.561474
74000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.462526
76000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.558078
78000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.593965
80000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.425496
82000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.591538
84000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.564525
