Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
166000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.593829
168000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.676110
170000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.570071
172000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.650004
174000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.615733
176000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.615038
178000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.668435
180000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.605442
182000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.608438
184000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.697459
186000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.576260
188000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.622652
190000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.670196
192000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.522333
194000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.703322
196000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.595442
198000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.597061
200000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.704710
202000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.598673
204000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.630672
206000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.669379
208000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.601967
210000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.641813
212000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.655878
214000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.552333
216000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.666720
218000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.672066
220000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.534781
222000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.692289
224000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.628879
226000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.573671
228000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.694392
230000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.601769
232000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.606513
234000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.684036
236000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.593710
238000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.618750
240000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.684149
242000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.565578
244000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.672964
246000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.645829
248000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.567656
250000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.673832
252000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.644256
254000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.569194
256000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.684251
258000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.617980
260000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.548451
262000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.722467
264000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.582865
266000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.606690
268000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.694271
270000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.596613
272000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.636581
274000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.674238
276000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.580836
278000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.670877
280000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.628976
282000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.512005
284000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.728936
286000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.577250
288000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.591039
290000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.717823
292000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.609477
294000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.570667
296000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.723132
298000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.554342
300000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.619446
302000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.681300
