cycle,row_hit,row_miss
6000,0,57
8000,0,187
10000,0,159
12000,0,161
14000,0,163
16000,0,158
18000,0,166
20000,0,160
22000,0,158
24000,0,169
26000,1,164
28000,1,160
30000,0,164
32000,0,159
34000,1,157
36000,0,166
38000,0,162
40000,1,166
42000,1,164
44000,0,158
46000,0,165
48000,1,163
50000,0,147
52000,1,157
54000,0,141
56000,2,169
58000,0,139
60000,0,159
62000,1,147
64000,0,138
66000,0,163
68000,0,132
70000,1,163
72000,1,155
74000,0,146
76000,1,160
78000,0,155
80000,1,158
82000,0,133
84000,0,158
86000,1,162
88000,0,155
90000,1,156
92000,1,149
94000,0,167
96000,1,157
98000,0,161
100000,1,156
102000,0,158
104000,0,161
106000,1,148
108000,0,155
110000,1,151
112000,0,180
114000,0,171
116000,0,167
118000,0,149
120000,0,160
122000,0,158
124000,0,165
126000,0,165
128000,0,150
130000,0,165
132000,0,147
134000,0,157
136000,0,141
138000,0,161
140000,0,162
142000,0,149
144000,0,136
146000,0,165
148000,0,158
150000,0,162
152000,0,144
154000,0,140
156000,0,167
158000,0,154
160000,0,165
162000,0,145
164000,0,163
166000,0,163
168000,0,163
170000,0,165
172000,0,155
174000,0,152
176000,0,149
178000,0,152
180000,0,157
182000,0,157
184000,0,152
186000,0,154
188000,0,165
190000,0,161
192000,0,149
194000,0,156
196000,0,151
198000,0,151
200000,0,159
202000,0,152
204000,0,164
206000,0,161
208000,0,155
210000,0,158
212000,0,141
214000,1,175
216000,0,150
218000,1,166
220000,1,160
222000,0,159
224000,1,155
226000,0,158
228000,0,158
230000,0,159
232000,0,153
234000,0,157
236000,0,159
238000,0,148
240000,1,152
242000,0,159
244000,1,157
246000,0,153
248000,1,162
250000,1,152
252000,0,163
254000,1,150
256000,0,158
258000,0,148
260000,1,157
262000,0,158
264000,2,147
266000,0,161
268000,0,156
270000,0,162
272000,0,165
274000,0,138
276000,0,132
278000,2,163
280000,0,154
282000,0,157
284000,0,153
286000,0,165
288000,0,144
290000,0,160
292000,1,153
294000,0,169
296000,0,140
298000,0,159
300000,0,162
302000,0,132
304000,0,148
306000,0,133
308000,0,153
310000,0,150
312000,0,144
314000,0,167
316000,0,134
318000,0,148
320000,0,160
322000,0,165
324000,0,180
326000,0,160
328000,0,163
330000,0,163
332000,0,146
334000,0,173
336000,0,154
338000,0,165
340000,0,148
342000,0,149
344000,0,155
346000,0,149
348000,0,171
350000,0,140
352000,0,141
354000,0,166
356000,0,142
358000,0,165
360000,0,141
362000,0,167
364000,0,163
366000,0,164
368000,0,140
370000,0,152
372000,0,155
374000,0,167
376000,0,161
378000,0,161
380000,1,157
382000,0,150
384000,1,155
386000,0,138
388000,1,159
390000,1,157
392000,0,164
394000,0,152
396000,0,155
398000,0,151
400000,0,159
402000,0,164
404000,0,129
406000,0,162
408000,1,162
410000,0,131
412000,0,155
414000,1,165
416000,0,150
418000,1,159
420000,0,146
422000,0,148
424000,0,164
426000,0,171
428000,1,170
430000,0,179
432000,0,163
434000,0,157
436000,0,168
438000,0,167
440000,0,167
442000,0,174
444000,0,165
446000,0,163
448000,0,168
450000,0,164
452000,0,168
454000,0,164
456000,0,164
458000,0,153
460000,0,159
462000,0,166
464000,0,166
466000,0,163
468000,0,169
470000,0,160
472000,0,168
474000,0,169
476000,0,158
478000,0,128
480000,0,142
482000,0,149
484000,0,161
486000,0,165
488000,0,157
490000,0,163
492000,0,150
494000,0,144
496000,0,159
498000,0,167
500000,0,146
502000,0,166
504000,0,150
506000,0,155
508000,0,142
510000,0,136
512000,0,151
514000,0,156
516000,0,160
518000,0,182
520000,0,154
522000,0,172
524000,0,159
526000,0,197
528000,0,184
530000,0,180
532000,0,164
534000,0,171
536000,0,149
538000,0,152
540000,0,160
542000,0,171
544000,0,155
546000,0,150
548000,0,148
550000,0,162
552000,0,146
554000,0,163
556000,0,146
558000,0,163
560000,0,162
562000,0,147
564000,0,167
566000,0,164
568000,0,163
570000,0,169
572000,0,168
574000,0,156
576000,0,175
578000,0,163
580000,0,163
582000,0,158
584000,0,172
586000,0,166
588000,0,167
590000,0,178
592000,0,174
594000,0,170
596000,0,161
598000,0,152
600000,0,148
602000,0,124
604000,0,166
606000,0,154
608000,0,127
610000,0,170
612000,0,123
614000,0,184
616000,0,145
618000,0,182
620000,0,165
622000,0,154
624000,0,179
626000,0,186
628000,0,157
630000,0,183
632000,0,181
634000,0,171
636000,0,170
638000,0,183
640000,0,171
642000,0,171
644000,0,197
646000,0,167
648000,0,171
650000,0,192
652000,0,175
654000,0,181
656000,0,183
658000,0,192
660000,0,178
662000,0,190
664000,0,189
666000,0,181
668000,0,188
670000,0,187
672000,0,187
674000,0,183
676000,0,185
678000,0,180
680000,0,186
682000,0,182
684000,0,186
686000,0,183
688000,0,168
690000,0,177
692000,0,187
694000,0,179
696000,0,185
698000,0,181
700000,0,189
702000,0,177
704000,0,184
706000,0,170
708000,0,168
710000,0,157
712000,0,192
714000,0,172
716000,0,188
718000,0,201
720000,1,193
722000,0,175
724000,0,194
726000,0,182
728000,0,188
730000,0,178
732000,0,167
734000,0,190
736000,0,168
738000,0,191
740000,0,182
742000,0,188
744000,0,181
746000,0,186
748000,0,197
750000,0,178
752000,0,183
754000,0,190
756000,0,200
758000,0,186
760000,0,175
762000,0,185
764000,0,198
766000,0,189
768000,0,179
770000,0,193
772000,0,201
774000,0,178
776000,0,183
778000,0,189
