cycle,row_hit,row_miss
6000,0,52
8000,0,168
10000,0,160
12000,0,164
14000,0,172
16000,0,170
18000,1,174
20000,0,163
22000,0,165
24000,0,166
26000,0,167
28000,0,165
30000,0,166
32000,1,163
34000,0,154
36000,0,161
38000,0,160
40000,0,166
42000,0,157
44000,0,156
46000,0,156
48000,0,159
50000,0,164
52000,0,166
54000,0,161
56000,0,165
58000,0,175
60000,0,161
62000,0,159
64000,0,159
66000,0,163
68000,0,165
70000,0,161
72000,0,155
74000,0,163
76000,0,165
78000,0,168
80000,0,159
82000,0,165
84000,0,163
86000,0,163
88000,0,162
90000,0,169
92000,0,161
94000,0,164
96000,0,164
98000,0,157
100000,0,163
102000,0,167
104000,0,166
106000,0,168
108000,0,172
110000,0,156
112000,0,158
114000,0,158
116000,0,167
118000,0,166
120000,0,168
122000,0,171
124000,0,173
126000,0,168
128000,0,167
130000,0,173
132000,0,167
134000,0,161
136000,0,170
138000,0,168
140000,0,164
142000,0,160
144000,0,163
146000,0,153
148000,0,164
150000,0,157
152000,0,161
154000,0,158
156000,0,166
158000,0,190
160000,0,161
162000,0,166
164000,0,161
166000,0,156
168000,0,167
170000,0,171
172000,0,162
174000,0,155
176000,0,171
178000,0,154
180000,0,158
182000,0,158
184000,0,165
186000,0,155
188000,0,136
190000,0,159
192000,0,153
194000,0,172
196000,0,145
198000,0,153
200000,0,146
202000,0,142
204000,0,155
206000,0,148
208000,0,175
210000,0,146
212000,0,177
214000,0,169
216000,0,166
218000,0,165
220000,0,171
222000,0,162
224000,0,165
226000,0,171
228000,0,169
230000,0,174
232000,0,175
234000,0,173
236000,0,173
238000,0,173
240000,0,172
242000,0,171
244000,0,176
246000,0,174
248000,0,170
250000,0,173
252000,0,175
254000,0,176
256000,0,167
258000,0,180
260000,0,158
262000,0,153
264000,0,154
266000,0,155
268000,0,158
270000,0,157
272000,0,157
274000,0,156
276000,0,158
278000,0,161
280000,0,160
282000,0,162
284000,0,170
286000,0,158
288000,0,156
290000,0,160
292000,0,155
294000,0,168
296000,0,161
298000,0,167
300000,0,170
302000,0,155
304000,0,160
306000,0,164
308000,1,155
310000,2,168
312000,0,158
314000,1,172
316000,1,168
318000,1,164
320000,1,172
322000,1,171
324000,2,163
326000,0,170
328000,0,150
330000,2,175
332000,0,169
334000,0,152
336000,0,145
338000,0,170
340000,1,160
342000,0,152
344000,0,157
346000,0,150
348000,0,176
350000,0,166
352000,2,171
354000,1,180
356000,1,190
358000,0,167
360000,1,171
362000,1,181
364000,0,153
366000,0,137
368000,0,174
370000,1,177
372000,0,165
374000,0,154
376000,1,161
378000,0,154
380000,0,166
382000,1,160
384000,0,153
386000,0,165
388000,1,152
390000,0,157
392000,0,168
394000,0,153
396000,0,167
398000,0,162
400000,0,187
402000,1,203
404000,1,217
406000,0,177
408000,4,170
410000,0,170
412000,0,173
414000,0,172
416000,0,137
418000,4,167
420000,0,159
422000,0,160
424000,0,153
426000,0,162
428000,4,161
430000,0,157
432000,0,156
434000,0,141
436000,0,164
438000,4,154
440000,4,149
442000,8,181
444000,8,192
446000,4,199
448000,4,208
450000,0,198
452000,4,185
454000,0,163
456000,0,177
458000,4,171
460000,8,167
462000,4,165
464000,4,158
466000,0,153
