1000000,2,148
1002000,3,152
1004000,3,170
1006000,3,180
1008000,10,184
1010000,4,168
1012000,3,186
1014000,3,172
1016000,6,165
1018000,4,165
1020000,8,169
1022000,6,167
1024000,2,170
1026000,4,168
1028000,0,167
1030000,0,180
1032000,8,166
1034000,4,163
1036000,4,172
1038000,4,173
1040000,5,171
1042000,4,167
1044000,4,177
1046000,5,173
1048000,1,198
1050000,3,175
1052000,0,176
1054000,0,176
1056000,0,169
1058000,0,182
1060000,0,170
1062000,0,168
1064000,0,173
1066000,0,168
1068000,0,175
1070000,0,187
1072000,0,192
1074000,0,193
1076000,0,185
1078000,0,180
1080000,0,179
1082000,4,187
1084000,0,182
1086000,0,189
1088000,0,186
1090000,0,170
1092000,0,209
1094000,3,196
1096000,0,205
1098000,0,208
1100000,0,225
1102000,1,198
1104000,0,168
1106000,4,198
1108000,1,180
1110000,0,149
1112000,1,194
1114000,0,165
1116000,0,210
1118000,0,215
1120000,1,209
1122000,0,193
1124000,0,189
1126000,0,181
1128000,0,203
1130000,0,186
1132000,0,182
1134000,0,207
1136000,0,203
1138000,0,207
1140000,0,208
1142000,0,213
1144000,0,195
1146000,0,213
1148000,0,209
1150000,0,201
1152000,0,208
1154000,0,213
1156000,0,205
1158000,0,201
1160000,0,216
1162000,0,234
1164000,1,253
1166000,0,245
1168000,2,218
1170000,0,230
1172000,1,190
1174000,0,243
1176000,3,229
1178000,0,188
1180000,2,231
1182000,0,208
1184000,2,246
1186000,2,225
1188000,2,268
1190000,1,257
1192000,2,241
1194000,1,251
1196000,2,234
1198000,0,242
1200000,1,220
1202000,1,215
1204000,1,252
1206000,1,187
1208000,1,243
1210000,0,214
1212000,0,238
1214000,0,231
1216000,0,228
1218000,0,197
1220000,4,201
1222000,0,168
1224000,4,153
1226000,0,88
1228000,0,156
1230000,4,76
1232000,0,197
1234000,4,178
1236000,0,215
1238000,5,205
1240000,0,174
1242000,0,157
1244000,0,143
1246000,0,110
1248000,0,160
1250000,1,194
1252000,0,163
1254000,1,142
1256000,4,144
1258000,0,109
1260000,4,103
1262000,0,180
1264000,0,162
1266000,4,133
1268000,4,176
1270000,0,135
1272000,4,139
1274000,0,129
1276000,4,68
1278000,0,174
1280000,0,106
1282000,4,99
1284000,0,161
1286000,0,80
1288000,5,180
1290000,0,127
1292000,4,116
1294000,0,114
1296000,1,87
1298000,0,164
1300000,1,97
1302000,4,132
1304000,1,110
1306000,0,141
1308000,0,112
1310000,0,156
1312000,0,88
1314000,6,158
1316000,2,65
1318000,8,130
1320000,1,121
1322000,4,121
1324000,4,112
1326000,0,120
1328000,8,109
1330000,0,126
1332000,0,104
1334000,2,151
1336000,0,106
1338000,0,138
1340000,1,109
1342000,0,106
1344000,0,147
1346000,0,103
1348000,0,141
1350000,0,89
1352000,0,128
1354000,0,115
1356000,0,135
1358000,1,107
1360000,1,144
1362000,0,100
1364000,4,114
1366000,0,139
1368000,0,99
1370000,1,183
1372000,0,114
1374000,0,113
1376000,0,134
1378000,0,85
1380000,0,161
1382000,1,98
1384000,0,136
1386000,0,118
1388000,0,117
1390000,0,168
1392000,0,125
1394000,0,133
1396000,0,128
1398000,0,112
1400000,0,121
1402000,0,128
1404000,0,113
1406000,0,175
1408000,0,239
1410000,0,148
1412000,0,120
1414000,0,118
1416000,0,116
1418000,0,136
1420000,0,88
1422000,0,148
1424000,0,141
1426000,0,118
1428000,0,135
1430000,0,130
1432000,0,145
1434000,0,144
1436000,0,88
1438000,0,136
1440000,0,140
1442000,0,112
1444000,0,163
1446000,0,119
1448000,0,155
1450000,0,145
1452000,0,132
1454000,0,101
1456000,0,124
1458000,0,120
1460000,1,122
1462000,0,125
1464000,0,122
1466000,0,182
1468000,0,142
1470000,0,127
1472000,1,134
1474000,0,108
1476000,0,131
1478000,0,123
1480000,0,96
1482000,0,190
1484000,0,129
1486000,0,191
1488000,0,127
1490000,0,126
1492000,0,115
1494000,0,122
1496000,4,118
1498000,0,122
1500000,0,100
1502000,0,162
1504000,1,141
1506000,4,137
1508000,0,129
1510000,4,100
1512000,0,132
1514000,4,106
1516000,0,115
1518000,0,159
1520000,4,129
1522000,0,145
1524000,4,115
1526000,0,114
1528000,8,123
1530000,0,97
1532000,4,130
1534000,0,115
1536000,0,185
1538000,0,140
1540000,4,131
1542000,0,108
1544000,4,122
1546000,0,117
1548000,4,120
1550000,0,114
1552000,0,96
1554000,4,137
1556000,4,114
1558000,0,125
1560000,4,113
1562000,0,96
1564000,4,143
1566000,0,89
1568000,2,145
1570000,0,104
1572000,5,129
1574000,0,106
1576000,4,123
1578000,0,106
1580000,0,131
1582000,0,125
1584000,0,97
1586000,0,163
1588000,0,92
1590000,4,141
1592000,0,106
1594000,4,113
1596000,0,128
1598000,0,109
