Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
8300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.159863
8400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.933700
8500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.114752
8600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.543220
8700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.215576
8800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.976696
8900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.301158
9000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.619606
9100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.341718
9200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.314785
9300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.890947
9400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.854434
9500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.878910
9600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.949145
9700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.260519
9800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.936468
9900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.264227
10000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.769162
10100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.263135
10200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.760930
10300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.180230
10400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.480705
10500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.527644
10600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.325806
10700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.574445
10800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.730516
10900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.628035
11000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.536870
11100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.369396
11200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.075262
11300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.004982
11400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.693408
11500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.736343
11600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.912610
11700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.000571
11800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.993223
11900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.126327
12000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.505228
12100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.426616
12200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.674795
12300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.173839
12400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.070634
12500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.960028
12600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.187634
12700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.018331
12800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.220465
12900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.439410
13000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.848183
13100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.939505
13200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.518062
