cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
6000,108,7,53,544,156,7
8000,440,0,88,28,264,0
10000,437,7,89,88,268,7
12000,462,7,94,26,283,7
14000,450,7,90,16,271,7
16000,427,0,87,11,261,0
18000,462,7,95,104,282,7
20000,422,7,86,144,259,7
22000,460,0,92,0,276,0
24000,412,7,84,103,253,7
26000,452,7,92,88,277,7
28000,440,0,88,0,264,0
30000,442,7,91,160,270,7
32000,407,7,83,152,250,7
34000,467,7,95,0,286,7
36000,420,0,84,91,252,0
38000,452,7,92,97,277,7
40000,432,7,89,107,264,7
42000,445,0,89,0,267,0
44000,437,7,89,153,268,7
46000,422,7,86,93,259,7
48000,464,0,92,3,276,0
50000,418,7,86,122,259,7
52000,447,7,92,142,273,7
54000,425,0,85,12,255,0
56000,452,7,92,120,277,7
58000,417,7,85,87,256,7
60000,457,7,93,0,280,7
62000,420,0,84,100,252,0
64000,452,7,93,122,276,7
66000,432,7,88,120,265,7
68000,440,0,88,71,264,0
70000,442,7,90,83,271,7
72000,422,7,86,118,259,7
74000,475,0,94,0,282,0
76000,402,7,84,153,249,7
78000,457,7,93,134,280,7
80000,420,0,84,113,252,0
82000,447,7,91,67,274,7
84000,422,7,86,94,259,7
86000,461,7,94,0,279,7
88000,426,0,86,78,258,0
90000,442,7,90,101,271,7
92000,432,7,88,61,265,7
94000,450,0,90,0,270,0
96000,452,7,92,78,277,7
98000,417,7,86,129,255,7
100000,465,0,93,1,279,0
102000,422,7,85,68,256,7
104000,442,7,91,102,274,7
106000,440,0,88,0,264,0
108000,442,7,90,97,271,7
110000,427,7,88,91,261,7
112000,438,7,90,81,268,7
114000,449,0,89,54,270,0
116000,427,7,86,66,259,7
118000,442,7,91,70,274,7
120000,435,0,87,0,261,0
122000,452,7,93,130,276,7
124000,412,7,84,103,253,7
126000,460,0,92,0,276,0
128000,432,7,88,34,265,7
130000,432,7,88,101,265,7
132000,456,0,90,0,267,0
134000,426,7,89,54,267,7
136000,457,7,93,117,280,7
138000,425,7,85,103,256,7
140000,452,0,92,1,276,0
142000,422,7,86,109,259,7
144000,442,7,91,189,270,7
146000,435,0,87,23,261,0
148000,437,7,89,124,268,7
150000,417,7,85,53,256,7
152000,464,0,92,0,276,0
154000,423,7,87,77,262,7
156000,432,7,89,99,264,7
158000,468,5,94,1,283,5
160000,409,2,82,121,246,2
162000,452,7,93,89,280,7
164000,428,7,86,112,257,7
166000,454,0,92,0,278,0
168000,422,7,87,217,258,7
170000,447,7,91,141,274,7
172000,434,0,86,10,258,0
174000,438,7,90,89,271,7
176000,427,7,87,118,262,7
178000,455,0,91,2,273,0
180000,427,7,87,115,258,7
182000,427,7,88,169,265,7
184000,460,2,91,0,274,2
186000,422,5,87,104,261,5
188000,452,7,92,100,277,7
190000,419,7,86,110,252,7
192000,458,0,92,43,279,0
194000,402,7,82,142,247,7
196000,462,7,94,99,283,7
198000,425,0,85,0,255,0
200000,452,7,92,94,277,7
202000,431,7,88,76,261,7
204000,451,0,91,1,273,0
206000,422,7,86,187,259,7
208000,432,7,88,73,265,7
210000,456,2,91,3,274,2
212000,425,5,86,101,258,5
214000,453,7,94,129,279,7
216000,409,7,84,72,251,7
218000,463,0,91,73,275,0
220000,417,7,85,95,256,7
222000,437,7,90,114,271,7
224000,445,0,89,1,267,0
226000,447,7,92,132,273,7
228000,417,7,85,156,256,7
230000,455,0,91,4,273,0
232000,432,7,88,85,265,7
234000,432,7,88,106,265,7
236000,456,1,91,0,270,1
238000,416,6,86,132,258,6
240000,452,7,92,146,277,7
242000,420,7,86,46,257,7
244000,457,0,91,58,275,0
246000,417,7,85,109,256,7
248000,452,7,93,90,276,7
250000,439,0,87,0,261,0
