Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,2.246970
4000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,2.246970
6000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.689756
8000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.437545
10000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.993761
12000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.987385
14000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.051780
16000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.942855
18000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.071604
20000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.983688
22000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.858139
24000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.115895
26000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.010314
28000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.993476
30000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.122026
32000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.902493
34000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.929974
36000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.028409
38000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.037441
40000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.018099
42000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.977481
44000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.823801
46000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.003804
48000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.996284
50000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.732362
52000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.858362
54000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.746521
56000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.113375
58000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.674831
60000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.884022
62000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.947374
64000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.583649
66000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.032659
68000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.544109
70000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.928450
72000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.902588
