Cycle,RunTimeDynamic(W)
2000,1.696750
4000,1.696750
6000,1.414241
8000,1.131167
10000,1.131167
12000,1.131167
14000,1.131167
16000,1.131167
18000,1.131167
20000,1.131167
22000,1.131167
24000,1.131167
26000,1.131167
28000,1.131167
30000,1.131167
32000,1.131167
34000,1.131167
36000,1.131167
38000,1.131167
40000,1.131167
42000,1.131167
44000,1.131167
46000,1.131167
48000,1.131167
50000,1.131167
52000,1.131167
54000,1.131167
56000,1.131167
58000,1.131167
60000,1.131167
62000,1.131167
64000,1.131167
66000,1.131167
68000,1.131167
70000,1.131167
72000,1.131167
74000,1.131167
76000,1.131167
78000,1.131167
80000,1.131167
82000,1.131167
84000,1.131167
86000,1.131167
88000,1.131167
90000,1.131167
92000,1.131167
94000,1.131167
96000,1.131167
98000,1.131167
100000,1.131167
102000,1.131167
104000,1.131167
106000,1.131167
108000,1.131167
110000,1.131167
112000,1.131167
114000,1.131167
116000,1.131167
118000,1.131167
120000,1.131167
122000,1.131167
124000,1.131167
126000,1.131167
128000,1.131167
130000,1.131167
132000,1.131167
134000,1.131167
136000,1.131167
138000,1.131167
140000,1.131167
142000,1.131167
144000,1.131167
146000,1.131167
148000,1.131167
150000,1.131167
152000,1.131167
154000,1.131167
156000,1.131167
158000,1.131167
160000,1.131167
162000,1.131167
164000,1.131167
166000,1.131167
168000,1.131167
170000,1.131167
172000,1.131167
174000,1.131167
176000,1.131167
178000,1.131167
180000,1.131167
182000,1.131167
184000,1.131167
186000,1.131167
188000,1.131167
190000,1.131167
192000,1.131167
194000,1.131167
196000,1.131167
198000,1.131167
200000,1.131167
202000,1.131167
204000,1.131167
206000,1.131167
208000,1.131167
210000,1.131167
212000,1.131167
214000,1.131167
216000,1.131167
218000,1.131167
220000,1.131167
222000,1.131167
224000,1.131167
226000,1.131167
228000,1.131167
230000,1.131167
232000,1.131167
234000,1.131167
236000,1.131167
238000,1.131167
240000,1.131167
242000,1.131167
244000,1.131167
246000,1.131167
248000,1.131167
250000,1.131167
252000,1.131167
254000,1.131167
256000,1.131167
258000,1.131167
260000,1.131167
262000,1.131167
264000,1.131167
266000,1.131167
268000,1.131167
270000,1.131167
272000,1.131167
274000,1.131167
276000,1.131167
278000,1.131167
280000,1.131167
282000,1.131167
284000,1.131167
286000,1.131167
288000,1.131167
290000,1.131167
292000,1.131167
294000,1.131167
296000,1.131167
298000,1.131167
300000,1.131167
302000,1.131167
304000,1.131167
306000,1.131167
308000,1.131167
310000,1.131167
312000,1.131167
314000,1.131167
316000,1.131167
318000,1.131167
320000,1.131167
322000,1.131167
324000,1.131167
326000,1.131167
328000,1.131167
330000,1.131167
332000,1.131167
334000,1.131167
336000,1.131167
338000,1.131167
340000,1.131167
342000,1.131167
344000,1.131167
346000,1.131167
348000,1.131167
350000,1.131167
352000,1.131167
354000,1.131167
356000,1.131167
358000,1.131167
360000,1.131167
362000,1.131167
364000,1.131167
366000,1.131167
368000,1.131167
370000,1.131167
372000,1.131167
374000,1.131167
376000,1.131167
378000,1.131167
380000,1.131167
382000,1.131167
384000,1.131167
386000,1.131167
388000,1.131167
390000,1.131167
392000,1.131167
394000,1.131167
396000,1.131167
398000,1.131167
400000,1.131167
402000,1.131167
404000,1.131167
406000,1.131167
408000,1.131167
410000,1.131167
412000,1.131167
414000,1.131167
416000,1.131167
418000,1.131167
420000,1.131167
422000,1.131167
424000,1.131167
426000,1.131167
428000,1.131167
430000,1.131167
432000,1.131167
434000,1.131167
436000,1.131167
438000,1.131167
440000,1.131167
442000,1.131167
444000,1.131167
446000,1.131167
448000,1.131167
450000,1.131167
452000,1.131167
454000,1.131167
456000,1.131167
458000,1.131167
460000,1.131167
462000,1.131167
464000,1.131167
466000,1.131167
468000,1.131167
470000,1.131167
472000,1.131167
474000,1.131167
476000,1.131167
478000,1.131167
480000,1.131167
482000,1.131167
484000,1.131167
486000,1.131167
488000,1.131167
490000,1.131167
492000,1.131167
494000,1.131167
496000,1.131167
498000,1.131167
500000,1.131167
502000,1.131167
504000,1.131167
506000,1.131167
508000,1.131167
510000,1.131167
512000,1.131167
514000,1.131167
516000,1.131167
518000,1.131167
520000,1.131167
522000,1.131167
524000,1.131167
526000,1.131167
528000,1.131167
530000,1.131167
532000,1.131167
534000,1.131167
536000,1.131167
538000,1.131167
540000,1.131167
542000,1.131167
544000,1.131167
546000,1.131167
548000,1.131167
550000,1.131167
552000,1.131167
554000,1.131167
556000,1.131167
558000,1.131167
560000,1.131167
562000,1.131167
564000,1.131167
566000,1.131167
568000,1.131167
570000,1.131167
572000,1.131167
574000,1.131167
576000,1.131167
578000,1.131167
580000,1.131167
582000,1.131167
584000,1.131167
586000,1.131167
588000,1.131167
590000,1.131167
592000,1.131167
594000,1.131167
596000,1.131167
598000,1.131167
600000,1.131167
602000,1.131167
604000,1.131167
606000,1.131167
608000,1.131167
610000,1.131167
612000,1.131167
614000,1.131167
616000,1.131167
618000,1.131167
620000,1.131167
622000,1.131167
624000,1.131167
626000,1.131167
628000,1.131167
630000,1.131167
632000,1.131167
634000,1.131167
636000,1.131167
638000,1.131167
640000,1.131167
642000,1.131167
644000,1.131167
646000,1.131167
648000,1.131167
650000,1.131167
652000,1.131167
654000,1.131167
656000,1.131167
658000,1.131167
660000,1.131167
662000,1.131167
664000,1.131167
666000,1.131167
668000,1.131167
670000,1.131167
672000,1.131167
674000,1.131167
676000,1.131167
678000,1.131167
680000,1.131167
682000,1.131167
684000,1.131167
686000,1.131167
688000,1.131167
690000,1.131167
692000,1.131167
694000,1.131167
696000,1.131167
698000,1.131167
700000,1.131167
702000,1.131167
704000,1.131167
706000,1.131167
708000,1.131167
710000,1.131167
712000,1.131167
714000,1.131167
716000,1.131167
718000,1.131167
720000,1.131167
722000,1.131167
724000,1.131167
726000,1.131167
728000,1.131167
730000,1.131167
732000,1.131167
734000,1.131167
736000,1.131167
738000,1.131167
740000,1.131167
742000,1.131167
744000,1.131167
746000,1.131167
748000,1.131167
750000,1.131167
752000,1.131167
754000,1.131167
756000,1.131167
758000,1.131167
760000,1.131167
762000,1.131167
764000,1.131167
766000,1.131167
768000,1.131167
770000,1.131167
772000,1.131167
774000,1.131167
776000,1.131167
778000,1.131167
780000,1.131167
782000,1.131167
784000,1.131167
786000,1.131167
788000,1.131167
790000,1.131167
792000,1.131167
794000,1.131167
796000,1.131167
798000,1.131167
800000,1.131167
802000,1.131167
804000,1.131167
806000,1.131167
808000,1.131167
810000,1.131167
812000,1.131167
814000,1.131167
816000,1.131167
818000,1.131167
820000,1.131167
822000,1.131167
824000,1.131167
826000,1.131167
828000,1.131167
830000,1.131167
832000,1.131167
834000,1.131167
836000,1.131167
838000,1.131167
840000,1.131167
842000,1.131167
844000,1.154355
846000,1.413958
848000,1.413958
850000,1.413958
852000,1.413958
854000,1.413958
856000,1.413958
858000,1.413958
860000,1.413958
862000,1.413958
864000,1.413958
866000,1.413958
868000,1.413958
870000,1.413958
872000,1.413958
874000,1.413958
876000,1.413958
878000,1.413958
880000,1.413958
882000,1.413958
