Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1160000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.835326
1162000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.536498
1164000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.371971
1166000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.103135
1168000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.919280
1170000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.961557
1172000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.830828
1174000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.774909
1176000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.740897
1178000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.370576
1180000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.872622
1182000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.688532
1184000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.154738
1186000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.633366
1188000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.741763
1190000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.573825
1192000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.610863
1194000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.807900
1196000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.734552
1198000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.662509
1200000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.637459
1202000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.620888
1204000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.871471
1206000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.409487
1208000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.780927
1210000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.598225
1212000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.877368
1214000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.665697
1216000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.549041
1218000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.349669
1220000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.444700
1222000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.054061
1224000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.821824
1226000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.924312
1228000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.859098
1230000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.637297
1232000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.383281
1234000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.160704
1236000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.718089
1238000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.636546
1240000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.048879
1242000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.877348
1244000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.671379
1246000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.219220
1248000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.781790
1250000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.419699
1252000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.894425
