cycle,pc,cta_id,cluster_id,warp_id,tid
1000643,208,3,3,7,ffffffff
1000653,210,3,3,7,ffffffff
1000657,218,3,3,7,ffffffff
1000678,220,3,3,7,ffffffff
1000711,208,3,3,14,ffffffff
1000721,210,3,3,14,ffffffff
1000725,218,3,3,14,ffffffff
1000746,220,3,3,14,ffffffff
1000847,208,3,3,0,ffffffff
1000857,210,3,3,0,ffffffff
1000861,218,3,3,0,ffffffff
1000882,220,3,3,0,ffffffff
1000903,288,3,3,15,ffffffff
1000908,1a8,3,3,10,ffffffff
1000913,290,3,3,15,ffffffff
1000917,298,3,3,15,ffffffff
1000918,1b0,3,3,10,ffffffff
1000922,1b8,3,3,10,ffffffff
1000923,2a0,3,3,15,ffffffff
1000925,2a8,3,3,15,ffffffff
1000927,2b0,3,3,15,ffffffff
1000933,2b8,3,3,15,ffffffff
1000938,2c0,3,3,15,ffffffff
1000943,1c0,3,3,10,ffffffff
1000975,1c8,3,3,10,ffffffff
1000985,1d0,3,3,10,ffffffff
1000989,1d8,3,3,10,ffffffff
1001010,1e0,3,3,10,ffffffff
1001042,1e8,3,3,10,ffffffff
1001045,288,3,3,8,ffffffff
1001052,1f0,3,3,10,ffffffff
1001055,290,3,3,8,ffffffff
1001056,1f8,3,3,10,ffffffff
1001065,2a0,3,3,8,ffffffff
1001067,2a8,3,3,8,ffffffff
1001069,2b0,3,3,8,ffffffff
1001075,2b8,3,3,8,ffffffff
1001077,200,3,3,10,ffffffff
1001080,2c0,3,3,8,ffffffff
1001090,298,3,3,8,ffffffff
1001109,208,3,3,10,ffffffff
1001111,a0,3,3,8,ffffffff
1001119,210,3,3,10,ffffffff
1001124,218,3,3,10,ffffffff
1001145,220,3,3,10,ffffffff
1001177,228,3,3,10,ffffffff
1001181,a8,3,3,3,ffffffff
1001187,230,3,3,10,ffffffff
1001191,b0,3,3,3,ffffffff
1001191,238,3,3,10,ffffffff
1001212,240,3,3,10,ffffffff
1001225,b8,3,3,3,ffffffff
1001244,248,3,3,10,ffffffff
1001246,c0,3,3,3,ffffffff
1001254,250,3,3,10,ffffffff
1001257,268,3,3,1,ffffffff
1001259,258,3,3,10,ffffffff
1001267,270,3,3,1,ffffffff
1001278,c8,3,3,3,ffffffff
1001288,d0,3,3,3,ffffffff
1001293,278,3,3,1,ffffffff
1001311,268,3,3,10,ffffffff
1001312,260,3,3,10,ffffffff
1001314,280,3,3,1,ffffffff
1001322,270,3,3,10,ffffffff
1001327,d8,3,3,3,ffffffff
1001346,288,3,3,1,ffffffff
1001356,290,3,3,1,ffffffff
1001361,278,3,3,10,ffffffff
1001366,2a0,3,3,1,ffffffff
1001368,2a8,3,3,1,ffffffff
1001370,2b0,3,3,1,ffffffff
1001376,2b8,3,3,1,ffffffff
1001379,e8,3,3,3,ffffffff
1001380,e0,3,3,3,ffffffff
1001381,2c0,3,3,1,ffffffff
1001382,280,3,3,10,ffffffff
1001390,f0,3,3,3,ffffffff
1001395,298,3,3,1,ffffffff
1001414,288,3,3,10,ffffffff
1001424,290,3,3,10,ffffffff
1001429,f8,3,3,3,ffffffff
1001434,2a0,3,3,10,ffffffff
1001436,2a8,3,3,10,ffffffff
1001438,2b0,3,3,10,ffffffff
1001444,2b8,3,3,10,ffffffff
1001449,2c0,3,3,10,ffffffff
1001450,100,3,3,3,ffffffff
1001463,298,3,3,10,ffffffff
1001478,a8,3,3,12,ffffffff
1001482,108,3,3,3,ffffffff
1001484,a0,3,3,10,ffffffff
1001488,b0,3,3,12,ffffffff
1001492,110,3,3,3,ffffffff
1001497,b8,3,3,12,ffffffff
1001518,c0,3,3,12,ffffffff
