cycle,instruction,cta_id,cluster_id,warp_id,tid
5002, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,1,ffffffff
5002, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,2,ffffffff
5002, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,3,ffffffff
5003, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,6,ffffffff
5003, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,7,ffffffff
5003, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,4,ffffffff
5003, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,5,ffffffff
5004, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,11,ffffffff
5004, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,8,ffffffff
5004, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,9,ffffffff
5004, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,10,ffffffff
5005, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,12,ffffffff
5005, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,13,ffffffff
5005, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,14,ffffffff
5005, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],3,3,15,ffffffff
5006, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],3,3,1,ffffffff
5006, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],3,3,2,ffffffff
