cycle,pc,cta_id,cluster_id,warp_id,tid
2001274,f8,1,1,10,ffffffff
2001291,188,1,1,8,ffffffff
2001293,280,1,1,4,ffffffff
2001301,190,1,1,8,ffffffff
2001307,278,1,1,4,ffffffff
2001309,118,1,1,15,ffffffff
2001326,288,1,1,4,ffffffff
2001328,100,1,1,10,ffffffff
2001342,a8,1,1,1,ffffffff
2001361,248,1,1,6,ffffffff
2001362,120,1,1,15,ffffffff
2001394,108,1,1,10,ffffffff
2001395,240,1,1,6,ffffffff
2001408,198,1,1,8,ffffffff
2001416,290,1,1,4,ffffffff
2001416,b0,1,1,1,ffffffff
2001416,110,1,1,10,ffffffff
2001418,250,1,1,6,ffffffff
2001426,2a0,1,1,4,ffffffff
2001427,128,1,1,15,ffffffff
2001428,2a8,1,1,4,ffffffff
2001429,1a0,1,1,8,ffffffff
2001430,2b0,1,1,4,ffffffff
2001436,2b8,1,1,4,ffffffff
2001437,130,1,1,15,ffffffff
2001441,2c0,1,1,4,ffffffff
2001442,298,1,1,4,ffffffff
2001443,b8,1,1,1,ffffffff
2001444,118,1,1,10,ffffffff
2001465,c0,1,1,1,ffffffff
2001466,120,1,1,10,ffffffff
2001498,c8,1,1,1,ffffffff
2001508,d0,1,1,1,ffffffff
2001511,138,1,1,15,ffffffff
2001530,128,1,1,10,ffffffff
2001532,a0,1,1,4,ffffffff
2001533,260,1,1,6,ffffffff
2001534,140,1,1,15,ffffffff
2001540,130,1,1,10,ffffffff
2001598,268,1,1,6,ffffffff
2001611,d8,1,1,1,ffffffff
2001630,148,1,1,15,ffffffff
2001645,138,1,1,10,ffffffff
2001647,258,1,1,6,ffffffff
2001653,270,1,1,6,ffffffff
2001653,150,1,1,15,ffffffff
2001663,e8,1,1,1,ffffffff
2001664,e0,1,1,1,ffffffff
2001666,140,1,1,10,ffffffff
2001674,f0,1,1,1,ffffffff
2001680,278,1,1,6,ffffffff
2001681,158,1,1,15,ffffffff
2001699,148,1,1,10,ffffffff
2001702,280,1,1,6,ffffffff
2001709,150,1,1,10,ffffffff
2001734,288,1,1,6,ffffffff
2001748,f8,1,1,1,ffffffff
2001766,168,1,1,15,ffffffff
2001767,160,1,1,15,ffffffff
2001769,100,1,1,1,ffffffff
2001782,158,1,1,10,ffffffff
2001790,290,1,1,6,ffffffff
2001790,170,1,1,15,ffffffff
2001800,2a0,1,1,6,ffffffff
2001801,108,1,1,1,ffffffff
2001802,2a8,1,1,6,ffffffff
2001804,2b0,1,1,6,ffffffff
2001805,1a8,1,1,8,ffffffff
2001810,2b8,1,1,6,ffffffff
2001811,110,1,1,1,ffffffff
2001815,1b0,1,1,8,ffffffff
2001815,2c0,1,1,6,ffffffff
2001816,298,1,1,6,ffffffff
2001817,178,1,1,15,ffffffff
2001834,168,1,1,10,ffffffff
2001835,160,1,1,10,ffffffff
2001838,180,1,1,15,ffffffff
2001845,170,1,1,10,ffffffff
2001851,118,1,1,1,ffffffff
2001870,188,1,1,15,ffffffff
2001872,120,1,1,1,ffffffff
2001880,190,1,1,15,ffffffff
2001904,128,1,1,1,ffffffff
2001908,a8,1,1,4,ffffffff
2001914,130,1,1,1,ffffffff
2001917,1b8,1,1,8,ffffffff
2001925,b0,1,1,4,ffffffff
2001938,1c0,1,1,8,ffffffff
2001951,178,1,1,10,ffffffff
2001953,198,1,1,15,ffffffff
2001970,1c8,1,1,8,ffffffff
2001972,180,1,1,10,ffffffff
2001974,1a0,1,1,15,ffffffff
2002006,188,1,1,10,ffffffff
2002007,a0,1,1,6,ffffffff
2002020,138,1,1,1,ffffffff
2002021,b8,1,1,4,ffffffff
2002029,1d0,1,1,8,ffffffff
2002029,190,1,1,10,ffffffff
2002042,140,1,1,1,ffffffff
2002043,c0,1,1,4,ffffffff
2002075,c8,1,1,4,ffffffff
2002088,1d8,1,1,8,ffffffff
2002089,198,1,1,10,ffffffff
2002096,d0,1,1,4,ffffffff
2002107,148,1,1,1,ffffffff
2002110,1a0,1,1,10,ffffffff
2002117,150,1,1,1,ffffffff
2002155,d8,1,1,4,ffffffff
2002157,158,1,1,1,ffffffff
2002174,1e8,1,1,8,ffffffff
2002176,e0,1,1,4,ffffffff
2002209,e8,1,1,4,ffffffff
2002210,1e0,1,1,8,ffffffff
2002219,f0,1,1,4,ffffffff
2002221,1f0,1,1,8,ffffffff
2002224,f8,1,1,4,ffffffff
2002242,168,1,1,1,ffffffff
2002243,160,1,1,1,ffffffff
2002245,100,1,1,4,ffffffff
2002253,170,1,1,1,ffffffff
2002277,108,1,1,4,ffffffff
2002278,200,1,1,8,ffffffff
2002287,110,1,1,4,ffffffff
2002291,1f8,1,1,8,ffffffff
2002292,178,1,1,1,ffffffff
2002310,208,1,1,8,ffffffff
2002313,180,1,1,1,ffffffff
2002326,118,1,1,4,ffffffff
2002334,210,1,1,8,ffffffff
2002345,188,1,1,1,ffffffff
2002355,190,1,1,1,ffffffff
2002360,218,1,1,8,ffffffff
2002373,a8,1,1,6,ffffffff
2002378,128,1,1,4,ffffffff
2002379,120,1,1,4,ffffffff
2002383,b0,1,1,6,ffffffff
2002389,130,1,1,4,ffffffff
2002394,198,1,1,1,ffffffff
2002412,228,1,1,8,ffffffff
2002413,220,1,1,8,ffffffff
2002415,1a0,1,1,1,ffffffff
2002428,b8,1,1,6,ffffffff
2002433,1a8,1,1,15,ffffffff
2002449,c0,1,1,6,ffffffff
2002462,138,1,1,4,ffffffff
2002470,230,1,1,8,ffffffff
2002470,1b0,1,1,15,ffffffff
2002481,c8,1,1,6,ffffffff
2002489,1a8,1,1,10,ffffffff
2002491,d0,1,1,6,ffffffff
2002496,1b8,1,1,15,ffffffff
2002497,238,1,1,8,ffffffff
2002499,1b0,1,1,10,ffffffff
2002514,148,1,1,4,ffffffff
2002515,140,1,1,4,ffffffff
2002518,1c0,1,1,15,ffffffff
2002525,150,1,1,4,ffffffff
2002550,1c8,1,1,15,ffffffff
2002560,1d0,1,1,15,ffffffff
2002564,d8,1,1,6,ffffffff
2002582,248,1,1,8,ffffffff
2002583,240,1,1,8,ffffffff
2002597,1b8,1,1,10,ffffffff
2002598,158,1,1,4,ffffffff
2002599,1d8,1,1,15,ffffffff
2002606,250,1,1,8,ffffffff
2002616,e8,1,1,6,ffffffff
2002620,1c0,1,1,10,ffffffff
2002652,1e8,1,1,15,ffffffff
2002653,1e0,1,1,15,ffffffff
2002663,1f0,1,1,15,ffffffff
2002685,168,1,1,4,ffffffff
2002699,258,1,1,8,ffffffff
2002717,1c8,1,1,10,ffffffff
2002718,e0,1,1,6,ffffffff
2002720,260,1,1,8,ffffffff
2002727,1d0,1,1,10,ffffffff
2002729,f0,1,1,6,ffffffff
2002734,1f8,1,1,15,ffffffff
2002752,268,1,1,8,ffffffff
2002753,160,1,1,4,ffffffff
2002755,200,1,1,15,ffffffff
2002762,270,1,1,8,ffffffff
2002764,170,1,1,4,ffffffff
2002768,1d8,1,1,10,ffffffff
2002769,f8,1,1,6,ffffffff
2002787,208,1,1,15,ffffffff
2002791,1a8,1,1,1,ffffffff
2002797,210,1,1,15,ffffffff
2002801,1b0,1,1,1,ffffffff
2002802,278,1,1,8,ffffffff
2002804,178,1,1,4,ffffffff
2002821,1e8,1,1,10,ffffffff
2002823,100,1,1,6,ffffffff
2002839,218,1,1,15,ffffffff
2002856,108,1,1,6,ffffffff
2002857,1e0,1,1,10,ffffffff
2002858,180,1,1,4,ffffffff
2002866,110,1,1,6,ffffffff
2002868,1f0,1,1,10,ffffffff
2002872,1b8,1,1,1,ffffffff
2002891,288,1,1,8,ffffffff
2002893,220,1,1,15,ffffffff
2002925,228,1,1,15,ffffffff
2002935,230,1,1,15,ffffffff
2002957,188,1,1,4,ffffffff
2002958,280,1,1,8,ffffffff
2002959,1c0,1,1,1,ffffffff
2002967,190,1,1,4,ffffffff
2002969,290,1,1,8,ffffffff
2002972,118,1,1,6,ffffffff
2002991,1c8,1,1,1,ffffffff
2002993,120,1,1,6,ffffffff
2003001,1d0,1,1,1,ffffffff
2003006,238,1,1,15,ffffffff
2003007,198,1,1,4,ffffffff
2003010,298,1,1,8,ffffffff
2003017,2a0,1,1,8,ffffffff
2003019,2a8,1,1,8,ffffffff
2003021,2b0,1,1,8,ffffffff
2003025,128,1,1,6,ffffffff
2003027,2b8,1,1,8,ffffffff
2003028,200,1,1,10,ffffffff
