cycle,pc,cta_id,cluster_id,warp_id,tid
5112,68,2,2,11,ffffffff
5113,68,2,2,12,ffffffff
5114,70,2,2,3,ffffffff
5115,70,2,2,1,ffffffff
5115,70,2,2,2,ffffffff
5116,70,2,2,4,ffffffff
5116,68,2,2,15,ffffffff
5116,70,2,2,5,ffffffff
5116,70,2,2,6,ffffffff
5117,68,2,2,14,ffffffff
5117,78,2,2,3,ffffffff
5117,70,2,2,8,ffffffff
5117,68,2,2,13,ffffffff
5118,70,2,2,7,ffffffff
5118,68,2,2,0,ffffffff
5118,78,2,2,1,ffffffff
5118,78,2,2,2,ffffffff
5119,78,2,2,4,ffffffff
5119,78,2,2,5,ffffffff
5119,78,2,2,6,ffffffff
5119,70,2,2,11,ffffffff
5120,70,2,2,9,ffffffff
5120,70,2,2,10,ffffffff
5120,78,2,2,8,ffffffff
5121,70,2,2,12,ffffffff
5122,78,2,2,7,ffffffff
5123,80,2,2,3,ffffffff
5124,80,2,2,2,ffffffff
5124,80,2,2,1,ffffffff
5124,78,2,2,11,ffffffff
5125,80,2,2,4,ffffffff
5125,78,2,2,9,ffffffff
5125,78,2,2,10,ffffffff
5126,80,2,2,5,ffffffff
5126,80,2,2,6,ffffffff
5126,78,2,2,12,ffffffff
5127,80,2,2,8,ffffffff
5127,78,2,2,14,ffffffff
5127,78,2,2,13,ffffffff
5128,80,2,2,7,ffffffff
5128,70,2,2,0,ffffffff
5129,78,2,2,15,ffffffff
5129,78,2,2,0,ffffffff
5130,70,2,2,13,ffffffff
5130,70,2,2,14,ffffffff
5130,80,2,2,11,ffffffff
5131,80,2,2,10,ffffffff
5131,80,2,2,9,ffffffff
5132,90,2,2,3,ffffffff
5133,80,2,2,12,ffffffff
5133,88,2,2,3,ffffffff
5134,88,2,2,1,ffffffff
5134,88,2,2,2,ffffffff
5134,98,2,2,3,ffffffff
5134,90,2,2,4,ffffffff
5135,88,2,2,4,ffffffff
5135,90,2,2,2,ffffffff
5135,90,2,2,1,ffffffff
5136,88,2,2,5,ffffffff
5136,88,2,2,6,ffffffff
5137,98,2,2,4,ffffffff
5137,98,2,2,1,ffffffff
5137,98,2,2,2,ffffffff
5137,90,2,2,7,ffffffff
5138,88,2,2,7,ffffffff
5138,80,2,2,0,ffffffff
5138,98,2,2,6,ffffffff
5138,98,2,2,5,ffffffff
5139,90,2,2,8,ffffffff
5140,70,2,2,15,ffffffff
5140,98,2,2,8,ffffffff
5141,88,2,2,11,ffffffff
5142,88,2,2,9,ffffffff
5142,88,2,2,10,ffffffff
5142,90,2,2,11,ffffffff
5143,90,2,2,5,ffffffff
5143,90,2,2,6,ffffffff
5143,98,2,2,11,ffffffff
5144,98,2,2,7,ffffffff
5144,80,2,2,13,ffffffff
5144,80,2,2,14,ffffffff
5144,88,2,2,12,ffffffff
5145,90,2,2,12,ffffffff
5145,90,2,2,9,ffffffff
5145,90,2,2,10,ffffffff
5146,88,2,2,8,ffffffff
5146,98,2,2,9,ffffffff
5146,98,2,2,10,ffffffff
5174,98,2,2,12,ffffffff
5277,80,2,2,15,ffffffff
5277,88,2,2,13,ffffffff
5297,60,2,2,1,ffffffff
5301,60,2,2,2,ffffffff
5305,60,2,2,3,ffffffff
5309,60,2,2,4,ffffffff
5341,a0,2,2,3,ffffffff
5342,a0,2,2,2,ffffffff
5343,a0,2,2,4,ffffffff
5344,a0,2,2,1,ffffffff
5345,a0,2,2,7,ffffffff
5346,88,2,2,14,ffffffff
5346,88,2,2,0,ffffffff
5347,a0,2,2,8,ffffffff
5348,a0,2,2,6,ffffffff
5356,a0,2,2,11,ffffffff
5357,a0,2,2,5,ffffffff
5358,a0,2,2,12,ffffffff
5375,90,2,2,13,ffffffff
5375,90,2,2,14,ffffffff
5375,90,2,2,0,ffffffff
5376,98,2,2,13,ffffffff
5376,98,2,2,14,ffffffff
5376,98,2,2,0,ffffffff
5377,90,2,2,15,ffffffff
5378,88,2,2,15,ffffffff
5379,98,2,2,15,ffffffff
5605,a8,2,2,3,ffffffff
5615,b0,2,2,3,ffffffff
5822,a8,2,2,4,ffffffff
5872,b0,2,2,4,ffffffff
5939,a8,2,2,1,ffffffff
5949,b0,2,2,1,ffffffff
6107,a8,2,2,2,ffffffff
6117,b0,2,2,2,ffffffff
6264,60,2,2,5,ffffffff
6279,a8,2,2,7,ffffffff
6282,60,2,2,6,ffffffff
6283,60,2,2,7,ffffffff
6452,a8,2,2,11,ffffffff
6545,b0,2,2,7,ffffffff
6624,a8,2,2,6,ffffffff
6733,b8,2,2,4,ffffffff
6734,b8,2,2,1,ffffffff
6743,b0,2,2,6,ffffffff
6754,b8,2,2,2,ffffffff
6795,a8,2,2,5,ffffffff
6805,b0,2,2,5,ffffffff
6970,a8,2,2,12,ffffffff
7085,60,2,2,8,ffffffff
7142,60,2,2,10,ffffffff
7255,60,2,2,11,ffffffff
7289,a8,2,2,10,ffffffff
7388,60,2,2,9,ffffffff
7398,a8,2,2,9,ffffffff
7444,c0,2,2,1,ffffffff
7445,c0,2,2,2,ffffffff
7446,a0,2,2,14,ffffffff
7447,a0,2,2,0,ffffffff
7448,a0,2,2,13,ffffffff
7449,a0,2,2,9,ffffffff
7450,a0,2,2,10,ffffffff
7451,a0,2,2,15,ffffffff
7452,c0,2,2,3,ffffffff
7453,c0,2,2,4,ffffffff
7544,60,2,2,14,ffffffff
7545,60,2,2,15,ffffffff
7554,b8,2,2,7,ffffffff
7556,b8,2,2,3,ffffffff
7557,b8,2,2,6,ffffffff
7562,b0,2,2,11,ffffffff
7562,b0,2,2,9,ffffffff
7562,b0,2,2,10,ffffffff
7575,c0,2,2,7,ffffffff
7620,a8,2,2,0,ffffffff
7639,60,2,2,12,ffffffff
7649,b0,2,2,12,ffffffff
7753,60,2,2,13,ffffffff
7754,a8,2,2,8,ffffffff
7764,b0,2,2,8,ffffffff
7764,b8,2,2,5,ffffffff
7771,b8,2,2,9,ffffffff
7774,b8,2,2,10,ffffffff
7779,b8,2,2,11,ffffffff
7781,b8,2,2,12,ffffffff
8018,a8,2,2,13,ffffffff
8028,b0,2,2,13,ffffffff
8127,a8,2,2,14,ffffffff
8137,b0,2,2,14,ffffffff
8268,a8,2,2,15,ffffffff
8278,b0,2,2,15,ffffffff
8368,60,2,2,0,ffffffff
8541,b0,2,2,0,ffffffff
8603,c8,2,2,3,ffffffff
8698,c8,2,2,1,ffffffff
8905,c8,2,2,2,ffffffff
8927,b8,2,2,13,ffffffff
8935,b8,2,2,14,ffffffff
8942,b8,2,2,15,ffffffff
8944,d0,2,2,3,ffffffff
8944,d0,2,2,1,ffffffff
8944,d0,2,2,2,ffffffff
9090,c8,2,2,4,ffffffff
9284,c8,2,2,7,ffffffff
9444,c8,2,2,6,ffffffff
9510,c0,2,2,14,ffffffff
9511,c0,2,2,15,ffffffff
9512,c0,2,2,6,ffffffff
9513,c0,2,2,5,ffffffff
9514,c0,2,2,9,ffffffff
9515,c0,2,2,10,ffffffff
9516,c0,2,2,11,ffffffff
9517,c0,2,2,12,ffffffff
9518,c0,2,2,8,ffffffff
9519,c0,2,2,13,ffffffff
9588,b8,2,2,0,ffffffff
9590,b8,2,2,8,ffffffff
9596,d0,2,2,4,ffffffff
9596,d0,2,2,7,ffffffff
9596,d0,2,2,6,ffffffff
9684,c8,2,2,11,ffffffff
9720,d8,2,2,3,ffffffff
9727,d0,2,2,11,ffffffff
9735,d8,2,2,1,ffffffff
9739,d8,2,2,2,ffffffff
9924,c8,2,2,9,ffffffff
9934,d0,2,2,9,ffffffff
10194,c8,2,2,5,ffffffff
10204,d0,2,2,5,ffffffff
10309,c8,2,2,10,ffffffff
10348,d8,2,2,7,ffffffff
10353,d8,2,2,4,ffffffff
10362,d0,2,2,10,ffffffff
10362,d8,2,2,6,ffffffff
10379,d8,2,2,9,ffffffff
10479,d8,2,2,11,ffffffff
10524,c8,2,2,12,ffffffff
10534,d0,2,2,12,ffffffff
10570,c8,2,2,8,ffffffff
10580,d0,2,2,8,ffffffff
11115,d8,2,2,5,ffffffff
11160,c8,2,2,13,ffffffff
11170,d0,2,2,13,ffffffff
11213,d8,2,2,10,ffffffff
11239,c8,2,2,14,ffffffff
11249,d0,2,2,14,ffffffff
11325,c8,2,2,15,ffffffff
11335,d0,2,2,15,ffffffff
11336,c0,2,2,0,ffffffff
11337,e0,2,2,1,ffffffff
11338,e0,2,2,7,ffffffff
11339,e0,2,2,4,ffffffff
11340,e0,2,2,6,ffffffff
11341,e0,2,2,10,ffffffff
11342,e0,2,2,11,ffffffff
11343,e0,2,2,5,ffffffff
11497,c8,2,2,0,ffffffff
11546,d8,2,2,12,ffffffff
11551,d0,2,2,0,ffffffff
11725,d8,2,2,13,ffffffff
11734,d8,2,2,8,ffffffff
11736,e8,2,2,1,ffffffff
11908,d8,2,2,14,ffffffff
11914,f0,2,2,1,ffffffff
11916,d8,2,2,15,ffffffff
11926,e8,2,2,2,ffffffff
12134,e8,2,2,3,ffffffff
12154,d8,2,2,0,ffffffff
12598,e8,2,2,6,ffffffff
12608,f0,2,2,6,ffffffff
12781,f8,2,2,1,ffffffff
12783,e8,2,2,4,ffffffff
12793,f0,2,2,4,ffffffff
12805,e8,2,2,9,ffffffff
12939,e8,2,2,7,ffffffff
12949,f0,2,2,7,ffffffff
13123,e0,2,2,12,ffffffff
13125,e0,2,2,2,ffffffff
13126,e0,2,2,3,ffffffff
13127,e0,2,2,13,ffffffff
13128,e0,2,2,8,ffffffff
13129,e0,2,2,14,ffffffff
13130,e0,2,2,15,ffffffff
13131,e0,2,2,0,ffffffff
13132,100,2,2,1,ffffffff
13137,f8,2,2,6,ffffffff
13145,f0,2,2,2,ffffffff
13156,e0,2,2,9,ffffffff
13158,100,2,2,6,ffffffff
13196,e8,2,2,10,ffffffff
13235,f8,2,2,4,ffffffff
13293,e8,2,2,11,ffffffff
13467,e8,2,2,5,ffffffff
13467,f8,2,2,7,ffffffff
13474,f0,2,2,3,ffffffff
13474,f0,2,2,9,ffffffff
13671,e8,2,2,12,ffffffff
