cycle,row_hit,row_miss
6000,70,6
8000,179,1
10000,172,4
12000,187,1
14000,179,1
16000,156,4
18000,198,4
20000,158,4
22000,188,2
24000,186,2
26000,179,4
28000,167,2
30000,172,5
32000,166,3
34000,180,2
36000,175,4
38000,167,2
40000,183,2
42000,188,4
44000,190,3
46000,142,4
48000,189,2
50000,171,2
52000,168,4
54000,174,2
56000,177,3
58000,176,3
60000,183,2
62000,171,4
64000,167,2
66000,181,3
68000,165,3
70000,182,2
72000,180,4
74000,170,2
76000,172,2
78000,174,4
80000,170,2
82000,180,3
84000,172,3
86000,192,2
88000,156,4
90000,190,2
92000,165,3
94000,181,3
96000,158,2
98000,173,4
100000,189,2
102000,174,2
104000,172,4
106000,203,2
108000,144,3
110000,205,3
112000,158,2
114000,156,4
116000,178,2
118000,193,4
120000,164,2
122000,171,2
124000,192,4
126000,158,2
128000,174,2
130000,183,4
132000,171,2
134000,180,4
136000,166,2
138000,182,2
140000,156,4
142000,206,2
144000,142,3
146000,191,3
148000,163,2
150000,180,4
152000,190,2
154000,178,4
156000,146,2
158000,198,2
160000,168,4
162000,160,2
164000,190,2
166000,188,4
168000,169,2
170000,162,3
172000,173,3
174000,166,2
176000,174,4
178000,196,2
180000,173,3
182000,157,3
184000,196,2
186000,155,4
188000,185,2
190000,174,2
192000,172,4
194000,174,2
196000,158,2
198000,188,4
200000,166,2
202000,180,4
204000,177,2
206000,186,3
208000,141,3
210000,198,2
212000,172,4
214000,182,3
216000,174,2
218000,180,5
220000,155,2
222000,186,3
224000,173,3
226000,175,2
228000,172,5
230000,158,2
232000,206,3
234000,158,3
236000,198,2
238000,149,4
240000,193,2
242000,142,2
244000,200,4
246000,174,2
248000,173,3
250000,174,3
252000,181,2
254000,164,4
256000,169,2
258000,186,3
260000,180,3
262000,175,2
264000,172,4
266000,182,2
268000,150,3
270000,188,3
272000,162,2
274000,185,3
276000,181,3
278000,182,2
280000,179,4
282000,167,2
284000,183,4
286000,163,2
288000,174,2
290000,172,4
292000,190,2
294000,158,2
296000,188,4
298000,166,2
300000,165,3
302000,189,3
304000,174,2
306000,164,4
308000,167,2
310000,180,3
312000,181,3
314000,174,2
316000,178,4
318000,168,2
320000,184,3
322000,157,3
324000,187,2
326000,150,3
328000,194,3
330000,176,2
332000,180,4
334000,158,2
336000,189,3
338000,158,3
340000,188,2
342000,173,4
344000,166,2
346000,182,2
348000,174,4
350000,188,2
352000,155,4
354000,175,2
356000,178,2
358000,180,4
360000,168,2
362000,183,3
364000,161,3
366000,170,2
368000,188,4
370000,166,2
372000,182,3
374000,172,3
376000,188,3
378000,157,4
380000,175,3
382000,175,2
384000,173,4
386000,174,2
388000,182,3
390000,157,4
392000,182,2
394000,189,4
396000,167,2
398000,178,2
400000,160,4
402000,190,2
404000,165,3
406000,181,3
408000,174,2
410000,172,4
412000,190,2
414000,170,4
416000,160,2
418000,174,2
420000,181,4
422000,165,2
424000,190,2
426000,188,4
428000,158,2
430000,173,3
432000,189,3
434000,142,2
436000,192,4
438000,170,2
440000,182,3
442000,164,3
444000,206,2
446000,151,4
448000,170,2
450000,175,2
452000,196,4
454000,140,2
456000,206,4
458000,174,2
460000,160,2
462000,179,4
464000,182,2
466000,153,2
468000,192,4
470000,168,2
472000,163,3
474000,189,3
476000,174,2
478000,188,4
480000,174,2
482000,172,4
484000,161,2
486000,187,2
488000,156,4
490000,172,2
492000,191,3
494000,182,3
496000,181,2
498000,143,3
500000,196,3
502000,167,3
504000,175,3
506000,185,2
508000,172,4
510000,161,2
512000,199,3
514000,144,3
516000,190,2
518000,173,3
520000,177,3
522000,181,2
524000,177,4
526000,174,2
528000,173,3
530000,171,3
532000,170,2
534000,186,4
536000,166,2
538000,196,4
540000,166,2
542000,174,2
544000,157,3
546000,195,3
548000,152,3
550000,204,3
552000,147,2
554000,184,3
556000,185,3
558000,178,2
560000,166,5
562000,180,2
564000,184,5
566000,161,2
568000,160,2
570000,191,4
572000,157,2
574000,205,4
576000,173,3
578000,172,2
580000,164,4
582000,197,2
584000,152,3
586000,168,3
588000,189,2
590000,188,4
592000,158,2
594000,190,2
596000,164,4
598000,179,2
600000,176,3
602000,181,3
604000,148,2
606000,205,4
608000,159,2
610000,189,3
612000,164,3
614000,183,2
616000,142,2
618000,204,4
620000,174,2
622000,172,4
624000,190,2
626000,172,4
628000,142,2
630000,174,2
632000,204,4
634000,175,2
636000,172,3
638000,173,3
640000,190,2
642000,139,4
644000,207,2
646000,158,2
648000,172,4
650000,177,2
652000,155,3
654000,188,3
656000,178,2
658000,184,4
660000,174,2
662000,173,3
664000,173,3
666000,158,2
668000,175,4
670000,176,2
672000,200,3
674000,173,3
676000,174,2
678000,177,4
680000,157,2
682000,186,2
684000,156,4
686000,158,2
688000,220,4
690000,158,2
692000,190,2
694000,172,4
696000,190,2
698000,157,4
700000,189,2
702000,144,2
704000,202,4
706000,174,2
708000,183,4
710000,163,2
712000,174,2
714000,142,2
716000,204,4
718000,174,2
720000,188,4
722000,172,2
724000,172,4
726000,184,2
728000,157,2
730000,181,4
732000,158,2
734000,189,4
736000,177,2
738000,186,3
740000,126,2
742000,220,3
744000,158,2
