cycle,row_hit,row_miss
6000,28,4
8000,96,0
10000,90,2
12000,82,2
14000,96,0
16000,78,2
18000,100,2
20000,77,2
22000,103,0
24000,82,2
26000,94,2
28000,97,1
30000,81,2
32000,88,3
34000,85,0
36000,94,2
38000,95,2
40000,87,2
42000,88,0
44000,91,2
46000,91,2
48000,89,0
50000,94,2
52000,90,2
54000,68,1
56000,102,1
58000,98,2
60000,66,2
62000,112,0
64000,89,2
66000,83,2
68000,80,0
70000,102,2
72000,82,2
74000,94,2
76000,84,0
78000,86,2
80000,98,2
82000,69,0
84000,109,2
86000,82,2
88000,90,2
90000,80,0
92000,102,2
94000,78,2
96000,88,0
98000,94,2
100000,78,2
102000,106,2
104000,71,0
106000,91,2
108000,102,2
110000,88,0
112000,78,2
114000,102,2
116000,88,0
118000,78,2
120000,94,2
122000,80,1
124000,110,1
126000,78,2
128000,78,2
130000,104,0
132000,86,2
134000,86,2
136000,98,2
138000,84,0
140000,94,2
142000,78,2
144000,92,0
146000,94,2
148000,82,2
150000,96,0
152000,78,2
154000,94,2
156000,80,0
158000,105,2
160000,83,2
162000,90,2
164000,84,0
166000,90,2
168000,91,2
170000,71,0
172000,110,2
174000,80,2
176000,92,2
178000,92,0
180000,84,2
182000,88,2
184000,84,0
186000,94,2
188000,90,2
190000,94,2
192000,84,0
194000,94,2
196000,78,2
198000,96,0
200000,90,2
202000,86,2
204000,76,0
206000,110,2
208000,78,2
210000,93,3
212000,81,0
214000,81,3
216000,108,2
218000,92,0
220000,83,2
222000,91,2
224000,85,2
226000,78,0
228000,95,2
230000,95,2
232000,80,0
234000,102,2
236000,90,2
238000,76,0
240000,110,2
242000,78,2
244000,94,2
246000,80,0
248000,94,2
250000,86,2
252000,88,0
254000,94,2
256000,78,2
258000,101,2
260000,73,0
262000,94,2
264000,94,2
266000,80,0
268000,94,2
270000,94,2
272000,96,0
274000,78,2
276000,94,2
278000,80,0
280000,105,2
282000,83,2
284000,78,2
286000,104,0
288000,70,2
290000,102,2
292000,88,0
294000,94,2
296000,93,2
298000,79,2
300000,96,0
302000,86,2
304000,86,2
306000,92,0
308000,90,2
310000,86,2
312000,86,2
314000,88,0
316000,78,2
318000,108,2
320000,82,0
322000,94,2
324000,89,2
326000,85,0
328000,94,2
330000,94,2
332000,64,2
334000,110,0
336000,78,2
338000,94,2
340000,80,0
342000,102,2
344000,85,2
346000,91,2
348000,84,0
350000,78,2
352000,110,2
354000,75,0
356000,99,2
358000,90,2
360000,84,0
362000,78,2
364000,94,2
366000,94,2
368000,80,0
